IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP11; SNP15; SNP16; SNP27	selectedExposure	selectedOutcome	0.18362602404365	0.000141644965343136	0.0890467616448548	0.278205286442445	0.452061206120612	3.03777638466997e-06	0.492562385861094	1.93441242918812e-07	NA	NA	100
SNP3; SNP5; SNP6; SNP7; SNP8; SNP9; SNP13; SNP14; SNP15; SNP17; SNP20; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP34	selectedExposure	selectedOutcome	0.1481380643772	3.68270216185281e-10	0.101808210736013	0.194467918018386	0.553303832595815	0	0.56763459419544	1.87506956465867e-18	NA	NA	200
SNP1; SNP3; SNP4; SNP5; SNP6; SNP11; SNP12; SNP14; SNP15; SNP16; SNP17; SNP19; SNP20; SNP21; SNP22; SNP25; SNP26; SNP27; SNP29; SNP30; SNP40	selectedExposure	selectedOutcome	0.167962570602415	8.29225379066238e-16	0.127067123208082	0.208858017996748	0.574167712974589	0	0.580643024197042	1.94531521183616e-28	NA	NA	300
SNP22	selectedExposure	selectedOutcome	0.219241164619585	0.0208491047974329	0.0332786042425951	0.405203724996574	0.495798319327731	0.000300261167809478	0.5085280759652	0.000162868347109154	NA	NA	50
SNP7; SNP11; SNP17; SNP21; SNP23; SNP26	selectedExposure	selectedOutcome	0.126186881776867	0.0153837760518615	0.024123449444467	0.228250314109267	0.461854185418542	1.7579549876398e-06	0.472348292827807	6.99011612130601e-07	NA	NA	100
SNP3; SNP4; SNP5; SNP9; SNP10; SNP11; SNP12; SNP15; SNP16; SNP23; SNP25; SNP26; SNP30	selectedExposure	selectedOutcome	0.127598902655736	0.00107892911474372	0.0510977846348159	0.204100020676656	0.348541213530338	5.05570264515884e-07	0.399698474154042	4.53479209849245e-09	NA	NA	200
SNP1; SNP3; SNP4; SNP5; SNP6; SNP9; SNP10; SNP11; SNP13; SNP14; SNP15; SNP16; SNP18; SNP19; SNP21; SNP22; SNP23; SNP25; SNP26; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.136500481296526	1.56728135427986e-11	0.096815713071636	0.176185249521416	0.495448616095734	0	0.537923270607453	6.69772932844639e-24	NA	NA	300
SNP1; SNP5; SNP16; SNP28; SNP29	selectedExposure	selectedOutcome	0.14671535440311	0.000657180910345169	0.0623097857452197	0.231120923061001	0.406228622862286	3.22110918250106e-05	0.408130081402671	2.49718745282244e-05	NA	NA	100
SNP1; SNP5; SNP6; SNP8; SNP9; SNP10; SNP11; SNP16; SNP18; SNP19; SNP20; SNP22; SNP23; SNP25; SNP26; SNP27; SNP29	selectedExposure	selectedOutcome	0.122882420795777	1.56546046276008e-06	0.0727344862109506	0.173030355380603	0.325526138153454	2.91210642077329e-06	0.374559911472267	4.65269030115693e-08	NA	NA	200
SNP1; SNP2; SNP4; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP11; SNP14; SNP15; SNP16; SNP17; SNP18; SNP19; SNP21; SNP22; SNP23; SNP25; SNP26; SNP27; SNP28; SNP30	selectedExposure	selectedOutcome	0.141946032630938	2.0002767581825e-15	0.10691296185498	0.176979103406895	0.502143801597795	0	0.518636681260724	4.68661956551814e-22	NA	NA	300
