IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP9; SNP17; SNP21; SNP22; SNP24	selectedExposure	selectedOutcome	0.178549693172953	0.000105241127688208	0.0883138021103801	0.268785584235525	0.509006900690069	9.97961642974566e-08	0.554796649147356	2.10462190094423e-09	NA	NA	100
SNP2; SNP3; SNP4; SNP6; SNP7; SNP8; SNP11; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP24; SNP25; SNP26; SNP29	selectedExposure	selectedOutcome	0.12123979844606	3.46954854279901e-09	0.0810166386647823	0.161462958227337	0.444554113852846	6.0349640304346e-11	0.490545238301869	1.66113234199217e-13	NA	NA	200
SNP1; SNP2; SNP4; SNP5; SNP7; SNP8; SNP9; SNP10; SNP11; SNP13; SNP14; SNP16; SNP17; SNP18; SNP20; SNP21; SNP22; SNP23; SNP24; SNP26; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.142750110635975	2.43822130300648e-17	0.109720551218735	0.175779670053216	0.537959310659007	0	0.544210616739558	1.57930303318449e-24	NA	NA	300
SNP14; SNP38	selectedExposure	selectedOutcome	0.152919946892103	0.041094795080383	0.00618458394724436	0.299655309836961	0.512509003601441	0.000174851864031991	0.53321149212966	6.69563698613515e-05	NA	NA	50
SNP4; SNP21; SNP29; SNP30	selectedExposure	selectedOutcome	0.121831721380869	0.0182377704361546	0.0206836663018365	0.222979776459902	0.358403840384038	0.000274383212463216	0.338295919387764	0.000576336496677033	NA	NA	100
SNP1; SNP2; SNP3; SNP8; SNP9; SNP10; SNP13; SNP16; SNP18; SNP19; SNP21; SNP22; SNP25; SNP28; SNP29; SNP30; SNP44	selectedExposure	selectedOutcome	0.069251405429942	0.000695902172746349	0.0292270127848153	0.109275798075069	0.321476036900923	3.90865406359566e-06	0.37004874924041	6.92307028044448e-08	NA	NA	200
SNP1; SNP3; SNP4; SNP5; SNP6; SNP8; SNP9; SNP10; SNP12; SNP13; SNP14; SNP15; SNP18; SNP19; SNP21; SNP22; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30; SNP33	selectedExposure	selectedOutcome	0.108841601246156	1.53603775912498e-10	0.075518596830462	0.142164605661851	0.409003211146791	1.733487081144e-13	0.426942656464723	1.01371205197333e-14	NA	NA	300
SNP1; SNP5; SNP10; SNP11; SNP12; SNP16; SNP19; SNP25; SNP27; SNP30	selectedExposure	selectedOutcome	0.143928647051244	1.36090296174986e-06	0.0855317114629489	0.202325582639539	0.457845784578458	2.20323362797716e-06	0.455326952709411	1.9379483592655e-06	NA	NA	100
SNP2; SNP3; SNP7; SNP12; SNP14; SNP15; SNP20; SNP22; SNP23; SNP27; SNP28	selectedExposure	selectedOutcome	0.0991746664238448	0.000603960993274943	0.0425016499933217	0.155847682854368	0.437218930473262	1.39475755944268e-10	0.441957506978765	5.69510689016964e-11	NA	NA	200
SNP1; SNP3; SNP4; SNP6; SNP7; SNP10; SNP12; SNP14; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP30	selectedExposure	selectedOutcome	0.094971875214534	6.22295290197014e-05	0.0484852418300711	0.141458508598997	0.370527228080312	4.68748713527714e-11	0.388593146612029	2.97902211534793e-12	NA	NA	300
SNP24	selectedExposure	selectedOutcome	0.0951062690267213	0.135192829776381	-0.0296682139569764	0.219880752010419	0.324273709483794	0.0220230897040159	0.333316709920547	0.018011919069175	NA	NA	50
SNP2; SNP15; SNP16; SNP18; SNP23; SNP24	selectedExposure	selectedOutcome	0.130027936719832	0.00586573885589973	0.0375298781647465	0.222525995274918	0.372157215721572	0.000152949243146134	0.440159668692974	4.59571095806906e-06	NA	NA	100
SNP1; SNP3; SNP7; SNP10; SNP16; SNP19; SNP21; SNP22; SNP26; SNP28; SNP29; SNP30; SNP31	selectedExposure	selectedOutcome	0.121349432575667	6.7840122466371e-07	0.0734696018075308	0.169229263343804	0.548433210830271	0	0.546527788552544	5.69404363415047e-17	NA	NA	200
SNP2; SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP10; SNP13; SNP14; SNP16; SNP17; SNP18; SNP19; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30; SNP31	selectedExposure	selectedOutcome	0.10819956611691	8.36652688527656e-10	0.0736486188854698	0.14275051334835	0.465850953899488	0	0.445641313526648	4.82706780155149e-16	NA	NA	300
SNP9; SNP10; SNP13; SNP17; SNP29	selectedExposure	selectedOutcome	0.137230207775691	0.00106902403910185	0.0550203025686998	0.219440112982681	0.577077707770777	1.89575506562928e-10	0.560615876820972	1.31345806487891e-09	NA	NA	100
SNP1; SNP2; SNP4; SNP5; SNP9; SNP10; SNP11; SNP12; SNP13; SNP15; SNP16; SNP17; SNP18; SNP22; SNP26; SNP27; SNP28; SNP30	selectedExposure	selectedOutcome	0.165181292431248	1.22308943168217e-10	0.114881835965759	0.215480748896737	0.473143328583215	3.797707216139e-13	0.480569799393653	5.94291897189839e-13	NA	NA	200
SNP1; SNP2; SNP4; SNP5; SNP6; SNP7; SNP9; SNP10; SNP11; SNP14; SNP15; SNP17; SNP19; SNP23; SNP24; SNP26; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.131109776754843	2.81901021832284e-10	0.0903752505756578	0.171844302934029	0.427368304092268	0	0.46929364013317	7.77159609581045e-18	NA	NA	300
SNP13; SNP24; SNP27	selectedExposure	selectedOutcome	0.224936272837162	7.42897503143564e-05	0.113665561459704	0.336206984214619	0.551596638655462	4.4421094812218e-05	0.610974071211324	2.44952992152488e-06	NA	NA	50
SNP6; SNP19; SNP27	selectedExposure	selectedOutcome	0.110134272737691	0.0331405377084052	0.00880983438689084	0.211458711088491	0.383222322232223	9.38497930682164e-05	0.425543865167822	1.01643281632613e-05	NA	NA	100
SNP2; SNP3; SNP6; SNP7; SNP8; SNP9; SNP10; SNP14; SNP15; SNP16; SNP17; SNP18; SNP21; SNP23; SNP26; SNP27; SNP28; SNP29; SNP30; SNP32	selectedExposure	selectedOutcome	0.119478281019742	5.5389371363453e-09	0.0793121522878368	0.159644409751648	0.43272031800795	2.28175316224177e-10	0.48112228809408	5.54378008695701e-13	NA	NA	200
