IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP6; SNP14; SNP15; SNP18; SNP20; SNP26	selectedExposure	selectedOutcome	-0.00165097317094942	0.965258794483784	-0.0759436465694892	0.0726417002275904	0.141194119411941	0.16091280259882	0.143946735513386	0.153055227479745	NA	NA	100
SNP3; SNP4; SNP6; SNP7; SNP12; SNP14; SNP15; SNP16; SNP21; SNP22; SNP23; SNP25; SNP26; SNP29	selectedExposure	selectedOutcome	0.00443181479583586	0.83488398337398	-0.0372402268015038	0.0461038563931755	0.102380559513988	0.149026685433317	0.11402889877264	0.107889371881864	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP10; SNP12; SNP14; SNP15; SNP16; SNP17; SNP18; SNP19; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP28; SNP29	selectedExposure	selectedOutcome	0.00078986016701155	0.962892867857774	-0.0324856198221485	0.0340653401561716	0.04903521150235	0.397182896296346	0.0811294149182223	0.161020412713542	NA	NA	300
SNP1; SNP28	selectedExposure	selectedOutcome	0.147548226389829	0.00788542991759323	0.0387051238464597	0.256391328933197	0.154957983193277	0.281664759779898	0.208148233431139	0.146906590007172	NA	NA	50
SNP5; SNP8; SNP10; SNP11; SNP22; SNP31	selectedExposure	selectedOutcome	-0.0327951015242589	0.430254399847346	-0.114286951579852	0.0486967485313343	-0.00824482448244825	0.935041301319486	0.0175991285584686	0.862028866648674	NA	NA	100
SNP1; SNP3; SNP5; SNP8; SNP9; SNP11; SNP14; SNP17; SNP19; SNP22; SNP23; SNP24; SNP25; SNP27; SNP29; SNP30; SNP47	selectedExposure	selectedOutcome	-0.00255389218541605	0.903714493294942	-0.0439320919725891	0.038824307601757	0.0894442361059027	0.207650653129564	0.0776288835509866	0.274566582090683	NA	NA	200
SNP1; SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP11; SNP13; SNP14; SNP15; SNP16; SNP17; SNP19; SNP20; SNP21; SNP23; SNP25; SNP27; SNP28; SNP29	selectedExposure	selectedOutcome	0.0402040541794386	0.149809023932138	-0.0145092843565859	0.0949173927154632	0.17611040122668	0.00223109137545847	0.170208274306903	0.00310249476085397	NA	NA	300
SNP14	selectedExposure	selectedOutcome	0.118530043758997	0.119782517323587	-0.0308024395890487	0.267862527107043	0.144393757503001	0.316071053769376	0.0881000039479633	0.542929194567883	NA	NA	50
SNP11; SNP17; SNP26; SNP28	selectedExposure	selectedOutcome	-0.00876754747993228	0.853499363770679	-0.101827816955566	0.084292721995701	0.0867326732673267	0.390249306942465	0.132438780659955	0.189003977557292	NA	NA	100
SNP3; SNP4; SNP5; SNP6; SNP9; SNP12; SNP14; SNP16; SNP18; SNP19; SNP24; SNP25; SNP29	selectedExposure	selectedOutcome	-0.0398240665785933	0.212224384467193	-0.10239358298639	0.0227454498292038	-0.0100427510687767	0.887667264799668	0.0120220899673681	0.865829322758395	NA	NA	200
SNP1; SNP2; SNP4; SNP6; SNP7; SNP8; SNP11; SNP12; SNP14; SNP15; SNP16; SNP18; SNP19; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.0367794320055035	0.0887985093118742	-0.00558020879976615	0.0791390728107731	0.22916832409249	6.44922828219794e-05	0.226487630925348	7.55615236256448e-05	NA	NA	300
SNP16; SNP29	selectedExposure	selectedOutcome	-0.0499401397509106	0.466741347968619	-0.184430445731135	0.0845501662293136	0.112989195678271	0.433484885667378	0.165217571761848	0.251540002873798	NA	NA	50
SNP4; SNP12; SNP13; SNP16; SNP22; SNP24; SNP27	selectedExposure	selectedOutcome	-0.0468555792957763	0.150077678689536	-0.110662973215521	0.0169518146239689	0.0946894689468947	0.348117531724378	0.0821342753783292	0.416567709456937	NA	NA	100
SNP1; SNP4; SNP5; SNP6; SNP7; SNP9; SNP11; SNP12; SNP14; SNP16; SNP19; SNP23; SNP24; SNP25; SNP28; SNP29	selectedExposure	selectedOutcome	-0.0521474647851526	0.1227538582494	-0.118373098717609	0.0140781691473041	-0.0838385959648991	0.237657226651957	-0.083928755757822	0.237373177429943	NA	NA	200
SNP1; SNP3; SNP5; SNP6; SNP7; SNP8; SNP9; SNP11; SNP12; SNP13; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP21; SNP22; SNP23; SNP25; SNP26; SNP27; SNP30	selectedExposure	selectedOutcome	-0.00535092063615745	0.767770349810198	-0.0408669167709885	0.0301650754986736	0.0932450360559562	0.106974464032936	0.103367827691008	0.0738243120425052	NA	NA	300
SNP19; SNP30	selectedExposure	selectedOutcome	-0.0109846647078319	0.837001163748667	-0.115633762406558	0.0936644329908943	-0.0705402160864346	0.625446631909411	-0.118484116643455	0.412494850597544	NA	NA	50
SNP7; SNP12; SNP13; SNP17; SNP29	selectedExposure	selectedOutcome	-0.0168818342411459	0.678599224698192	-0.0967316264410903	0.0629679579587986	-0.0336153615361536	0.739472391961512	-0.000997659253555375	0.992140036244384	NA	NA	100
SNP1; SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP11; SNP12; SNP13; SNP14; SNP15; SNP17; SNP18; SNP19; SNP22; SNP24; SNP25; SNP26; SNP30	selectedExposure	selectedOutcome	-0.0149842225449338	0.43861298043728	-0.0529017348674037	0.0229332897775362	0.0596444911122778	0.401170440713511	0.0598803265482072	0.399629102699331	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP6; SNP10; SNP12; SNP13; SNP14; SNP15; SNP16; SNP19; SNP21; SNP22; SNP23; SNP26; SNP27; SNP28; SNP29; SNP30; SNP41	selectedExposure	selectedOutcome	0.00688602068222557	0.708998107381717	-0.0292776454179398	0.043049686782391	0.0609500105556728	0.292500423989779	0.0469206519418115	0.418087959009703	NA	NA	300
SNP10; SNP12; SNP15; SNP17; SNP21; SNP24; SNP25; SNP26; SNP27	selectedExposure	selectedOutcome	0.030539943669493	0.315050244850605	-0.0290383310324389	0.0901182183714248	0.285280528052805	0.00413720068216986	0.314246949853503	0.00145240897674066	NA	NA	100
SNP1; SNP2; SNP5; SNP6; SNP8; SNP10; SNP11; SNP13; SNP18; SNP24; SNP25; SNP26; SNP28; SNP30	selectedExposure	selectedOutcome	0.00862711756331786	0.814833156304379	-0.0635725398687169	0.0808267749953526	0.0608310207755194	0.391855484745576	0.053650171510683	0.450539518557329	NA	NA	200
SNP1; SNP2; SNP4; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP11; SNP12; SNP13; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP30; SNP36; SNP50	selectedExposure	selectedOutcome	-0.00554059432678141	0.745468396632009	-0.0389931001291399	0.0279119114755771	0.13265214057934	0.0216129512559931	0.110178195944454	0.0566264988195842	NA	NA	300
SNP15	selectedExposure	selectedOutcome	0.140768369187831	0.148510856247809	-0.050191451396245	0.331728189771908	0.275102040816327	0.053482649707251	0.276088906897948	0.0522859653806692	NA	NA	50
SNP3; SNP9; SNP16; SNP18; SNP20; SNP24; SNP25; SNP27; SNP30	selectedExposure	selectedOutcome	0.0340432326563853	0.273365063797722	-0.0268722291230189	0.0949586944357894	0.323216321632163	0.00109688229071143	0.320503697035116	0.00115020067895657	NA	NA	100
SNP3; SNP4; SNP7; SNP10; SNP11; SNP12; SNP13; SNP20; SNP21; SNP22; SNP24; SNP26; SNP28; SNP30	selectedExposure	selectedOutcome	0.00165125682622859	0.933842112026295	-0.0373359920423933	0.0406385056948504	0.0920663016575414	0.194593893659154	0.070981392431468	0.317893098387153	NA	NA	200
SNP1; SNP2; SNP5; SNP7; SNP10; SNP11; SNP16; SNP17; SNP19; SNP20; SNP21; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.0504836973032698	0.0623127522829234	-0.00259722789473027	0.10356462250127	0.287010300114446	4.78607679789941e-07	0.241852428947207	2.29009730473913e-05	NA	NA	300
SNP23	selectedExposure	selectedOutcome	-0.0490669915434636	0.559903414062561	-0.214027565455809	0.115893582368882	-0.183769507803121	0.200822874426277	-0.200770958854501	0.162101260748024	NA	NA	50
SNP1; SNP2; SNP6; SNP15; SNP16; SNP18; SNP27	selectedExposure	selectedOutcome	0.0399552536973506	0.28444001352531	-0.0332052231128841	0.113115730507585	0.054965496549655	0.586443065419015	0.0119167726330428	0.906326240746922	NA	NA	100
SNP1; SNP2; SNP4; SNP5; SNP7; SNP8; SNP10; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP19; SNP20; SNP21; SNP22; SNP23; SNP24; SNP26; SNP27; SNP30; SNP44; SNP45	selectedExposure	selectedOutcome	-0.00298457670079938	0.907226381269607	-0.0531800161496633	0.0472108627480645	0.0340868521713043	0.631532483712237	0.019487577982265	0.784165670764689	NA	NA	200
SNP2; SNP3; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP11; SNP13; SNP15; SNP16; SNP17; SNP19; SNP20; SNP21; SNP23; SNP24; SNP25; SNP28	selectedExposure	selectedOutcome	-0.0196596770104965	0.359322828923613	-0.0616953488638477	0.0223759948428547	-0.0134579273103034	0.816328581577509	0.00291712075525232	0.959871218664061	NA	NA	300
SNP4	selectedExposure	selectedOutcome	0.0861973191457453	0.32690335134772	-0.0861290318483051	0.258523670139796	-0.0602641056422569	0.676765618176754	-0.0239161211562161	0.869055220601046	NA	NA	50
SNP2; SNP8; SNP13; SNP21; SNP27; SNP30	selectedExposure	selectedOutcome	0.0324737907034869	0.595194039648482	-0.0873164299418745	0.152264011348848	0.0670747074707471	0.506663527102729	0.0487662377319152	0.629935182245999	NA	NA	100
SNP2; SNP6; SNP7; SNP9; SNP11; SNP13; SNP17; SNP18; SNP19; SNP20; SNP21; SNP24; SNP27; SNP34	selectedExposure	selectedOutcome	0.0750495871620183	0.0518194516000602	-0.000591764253942459	0.150690938577979	0.144501612540314	0.041278729579761	0.160850955618951	0.0228846996136552	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP8; SNP9; SNP10; SNP11; SNP12; SNP13; SNP14; SNP15; SNP17; SNP18; SNP19; SNP20; SNP21; SNP23; SNP24; SNP26; SNP27; SNP28; SNP29	selectedExposure	selectedOutcome	0.0361995642345887	0.12282151129605	-0.00978104910056134	0.0821801775697387	0.176131290347671	0.00222836024912544	0.205663632228387	0.000336131581347259	NA	NA	300
SNP17	selectedExposure	selectedOutcome	0.00794747311189657	0.909696663535766	-0.12938810752697	0.145283053750764	0.210180072028812	0.142634098933417	0.183521217305369	0.202048891289821	NA	NA	50
SNP9; SNP11; SNP18; SNP24; SNP25; SNP28; SNP49	selectedExposure	selectedOutcome	0.0156840090742812	0.681360630119479	-0.0591809657533187	0.0905489839018811	0.0138373837383738	0.89116342128191	0.0450933899794132	0.655964765966629	NA	NA	100
SNP3; SNP4; SNP6; SNP8; SNP9; SNP10; SNP11; SNP14; SNP21; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30; SNP31	selectedExposure	selectedOutcome	-0.0242110579935547	0.443467364904114	-0.0861314961471792	0.0377093801600699	0.109883747093677	0.1213330887841	0.133229190246624	0.0600088965031644	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP9; SNP11; SNP12; SNP13; SNP15; SNP17; SNP18; SNP19; SNP20; SNP22; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29	selectedExposure	selectedOutcome	-0.0347192714109661	0.0851120624249607	-0.0742418043633557	0.00480326154142353	-0.0133965932954811	0.817150882753735	9.72118948014469e-05	0.998662163443318	NA	NA	300
SNP5	selectedExposure	selectedOutcome	-0.0258937620410462	0.733465718239527	-0.174933437650924	0.123145913568831	0.101614161416142	0.313874317163271	0.104823534669835	0.299307735390613	NA	NA	100
SNP1; SNP2; SNP4; SNP7; SNP9; SNP10; SNP11; SNP12; SNP14; SNP15; SNP22; SNP24; SNP27; SNP30	selectedExposure	selectedOutcome	0.0118469550330768	0.720068915958318	-0.0529459116914403	0.0766398217575938	0.17063976599415	0.0157910869167003	0.195047251034662	0.00564485766632183	NA	NA	200
SNP2; SNP3; SNP4; SNP6; SNP7; SNP8; SNP9; SNP11; SNP12; SNP13; SNP15; SNP16; SNP18; SNP19; SNP22; SNP23; SNP24; SNP25; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.00417939632062418	0.85838031521413	-0.041727544226599	0.0500863368678474	0.0578233091478794	0.317997685039015	0.0850754488707769	0.141544203773006	NA	NA	300
SNP10; SNP13	selectedExposure	selectedOutcome	0.0352479487284335	0.614304898998959	-0.101841734586773	0.172337632043639	-0.0758835883588359	0.452389823349382	-0.0673663427122242	0.505442473960248	NA	NA	100
SNP2; SNP3; SNP4; SNP5; SNP6; SNP9; SNP10; SNP15; SNP17; SNP18; SNP19; SNP20; SNP25; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	-0.0393590456510033	0.165780148210574	-0.0950216514657869	0.0163035601637803	0.0411160279006975	0.562909609209509	0.0641378774509414	0.366902530414395	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP6; SNP7; SNP8; SNP9; SNP10; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP18; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP30; SNP36; SNP44	selectedExposure	selectedOutcome	0.0297070828433348	0.0682036357376027	-0.00222038351383182	0.0616345492005013	0.155091056567295	0.00716606170483828	0.128313280929776	0.0262584787141651	NA	NA	300
