IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP5; SNP6; SNP13; SNP15; SNP19; SNP25; SNP28; SNP29	selectedExposure	selectedOutcome	0.0612180880778512	0.0326794572443557	0.00504520523047326	0.117390970925229	0.205796579657966	0.0401280459942374	0.221224109278338	0.0269728579571037	NA	NA	100
SNP2; SNP5; SNP6; SNP8; SNP10; SNP11; SNP13; SNP14; SNP18; SNP19; SNP22; SNP23; SNP24; SNP42	selectedExposure	selectedOutcome	-0.0110069382089659	0.550712512563686	-0.047161561024509	0.0251476846065772	0.00801620040501013	0.910229430617669	0.00415680067525178	0.953415823229823	NA	NA	200
SNP2; SNP3; SNP4; SNP5; SNP7; SNP8; SNP9; SNP11; SNP15; SNP16; SNP17; SNP18; SNP19; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.0186636600772027	0.176332866307768	-0.00838997260974949	0.045717292764155	0.112603917821309	0.0514043190642101	0.13000528133405	0.0243271817608092	NA	NA	300
SNP16	selectedExposure	selectedOutcome	0.0242045189026088	0.722697229904451	-0.109483348713548	0.157892386518766	0.00821128451380552	0.954961483030543	0.00852868776642096	0.953125249645039	NA	NA	50
SNP1; SNP3; SNP8; SNP14; SNP15; SNP19; SNP20; SNP21; SNP22; SNP27; SNP29	selectedExposure	selectedOutcome	-0.0121084675124694	0.585978276675176	-0.0556798397480885	0.0314629047231497	0.142298229822982	0.157638968617621	0.120715059244844	0.23155832532732	NA	NA	100
SNP3; SNP5; SNP6; SNP7; SNP9; SNP10; SNP11; SNP12; SNP13; SNP15; SNP16; SNP17; SNP19; SNP21; SNP22; SNP23; SNP27; SNP28; SNP29; SNP30; SNP43	selectedExposure	selectedOutcome	-0.0276328424179751	0.138105715217748	-0.0641558895269875	0.00889020469103722	0.101803045076127	0.151342411404162	0.0902308439918388	0.203852486593491	NA	NA	200
SNP1; SNP2; SNP5; SNP8; SNP9; SNP10; SNP12; SNP14; SNP15; SNP16; SNP19; SNP20; SNP22; SNP23; SNP26; SNP27; SNP28; SNP29; SNP41	selectedExposure	selectedOutcome	-0.00704729300528265	0.74108918595085	-0.0488510674496627	0.0347564814390974	0.0567077411971244	0.327435786462645	0.0482969539492856	0.404550350635414	NA	NA	300
SNP1; SNP2; SNP5; SNP7; SNP10; SNP20; SNP22; SNP26; SNP30; SNP39; SNP50	selectedExposure	selectedOutcome	-0.0130010164988698	0.680338739748244	-0.0748492359820326	0.048847202984293	0.0607500750075008	0.54761999427175	0.0789220403668777	0.435086927964092	NA	NA	100
SNP1; SNP2; SNP3; SNP4; SNP5; SNP7; SNP9; SNP12; SNP13; SNP14; SNP16; SNP17; SNP19; SNP20; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP29; SNP30	selectedExposure	selectedOutcome	-0.00159738092533271	0.931609425852745	-0.0380784499011141	0.0348836880504487	0.0780604515112878	0.271645326947695	0.0970206560807718	0.171717653377701	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP7; SNP12; SNP13; SNP14; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP29	selectedExposure	selectedOutcome	0.00797879004456899	0.643723561476348	-0.0258334843982847	0.0417910644874227	0.121935577061967	0.0348224408217291	0.134042132838158	0.0202073262518786	NA	NA	300
SNP6	selectedExposure	selectedOutcome	0.00832135475558139	0.905419351408648	-0.128943382936837	0.145586092448	0.140840336134454	0.328224897471636	0.104649959459791	0.469520096825341	NA	NA	50
SNP1; SNP3; SNP6; SNP12; SNP13; SNP19; SNP22; SNP45	selectedExposure	selectedOutcome	-0.00697558805456756	0.802498599193851	-0.0616381004580959	0.0476869243489608	0.0831923192319232	0.40994037634572	0.051576968916723	0.610314495265295	NA	NA	100
SNP5; SNP6; SNP7; SNP9; SNP10; SNP12; SNP16; SNP17; SNP18; SNP19; SNP21; SNP22; SNP23; SNP25; SNP28	selectedExposure	selectedOutcome	-0.0131312496498456	0.583674108473712	-0.0600939491663398	0.0338314498666485	0.0168379209480237	0.812773541053544	0.0579646723579435	0.414905280251719	NA	NA	200
SNP3; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP14; SNP15; SNP17; SNP18; SNP19; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP27; SNP28; SNP30	selectedExposure	selectedOutcome	-0.0007534784655449	0.965030704828109	-0.0344382038545842	0.0329312469234944	0.0692065467394082	0.231894236054918	0.0854677512258989	0.139710898771961	NA	NA	300
SNP3; SNP5; SNP11; SNP30	selectedExposure	selectedOutcome	0.0933120386604609	0.0350787062595529	0.00653021694491177	0.18009386037601	0.25047704770477	0.0121357042703696	0.345829866796228	0.000424738372891092	NA	NA	100
SNP1; SNP2; SNP3; SNP5; SNP6; SNP8; SNP9; SNP11; SNP18; SNP19; SNP20; SNP21; SNP22; SNP23; SNP25; SNP26; SNP27; SNP28; SNP30	selectedExposure	selectedOutcome	-0.0441570118203541	0.0184699376243887	-0.0808904377108196	-0.00742358592988869	-0.0413755343883597	0.560446119357517	-0.0343426907092931	0.629253954095719	NA	NA	200
SNP1; SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP10; SNP12; SNP13; SNP16; SNP18; SNP19; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP30	selectedExposure	selectedOutcome	0.0142588337558551	0.366113445751215	-0.0166633828261184	0.0451810503378286	0.134868165201836	0.0195046209069454	0.140861670124773	0.0146143564459374	NA	NA	300
SNP6; SNP13; SNP22; SNP27	selectedExposure	selectedOutcome	0.0769973865078282	0.052987079426669	-0.00099230875647098	0.154987081772127	0.236974789915966	0.0975441481664277	0.216168455731766	0.131613111535159	NA	NA	50
SNP5; SNP12; SNP23; SNP25	selectedExposure	selectedOutcome	0.0959429864621814	0.0874755523290642	-0.0140976290796586	0.205983602004021	0.243396339633963	0.0148686695090014	0.238290214682222	0.0169660660908005	NA	NA	100
SNP1; SNP5; SNP7; SNP9; SNP11; SNP12; SNP16; SNP17; SNP20; SNP22; SNP23; SNP26; SNP29; SNP47; SNP50	selectedExposure	selectedOutcome	0.00264176176779353	0.917543471960893	-0.0473710770329231	0.0526546005685102	0.00392409810245256	0.955989343611561	-0.0300245587218649	0.672992119349819	NA	NA	200
SNP1; SNP5; SNP6; SNP9; SNP11; SNP12; SNP13; SNP14; SNP15; SNP19; SNP21; SNP23; SNP25; SNP26; SNP27; SNP30; SNP40	selectedExposure	selectedOutcome	0.0140849548716868	0.513853117989879	-0.0282004291275447	0.0563703388709183	0.17405082278692	0.00251586386234386	0.17844131924116	0.00191744003631677	NA	NA	300
