IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP30	selectedExposure	selectedOutcome	0.0993005421033114	0.173732648645896	-0.0437740876333071	0.24237517183993	0.434479447944795	7.80465514339635e-06	0.420065932615616	1.35587020759252e-05	NA	NA	100
SNP1	selectedExposure	selectedOutcome	0.15954719796796	0.0118294501285022	0.0353187643511164	0.283775631584804	0.495114377859447	0	0.522559481982099	2.07578400314111e-15	NA	NA	200
SNP12	selectedExposure	selectedOutcome	0.0742245946737462	0.170007967866791	-0.0317948214365424	0.180244010784035	0.439917332414805	0	0.456761571771262	7.20965467249057e-17	NA	NA	300
SNP22	selectedExposure	selectedOutcome	0.330422560636204	0.00320950248821912	0.110662589943097	0.550182531329311	0.437203720372037	6.76439135797554e-06	0.40728983372342	2.60462698630443e-05	NA	NA	100
SNP28	selectedExposure	selectedOutcome	0.151281006151066	0.0311638022804685	0.0136899231318798	0.288872089170252	0.541836045901148	0	0.501221833101621	4.05189401881261e-14	NA	NA	200
SNP30	selectedExposure	selectedOutcome	0.0455960225848248	0.473076516766301	-0.0789597393921878	0.170151784561837	0.393569261880688	2.02801400258322e-12	0.388363256080816	3.07562081937313e-12	NA	NA	300
SNP16	selectedExposure	selectedOutcome	0.16492912054771	0.142168589139625	-0.0553074697275941	0.385165710823015	0.510108043217287	0.000189278609826145	0.498522585417578	0.000229131568852805	NA	NA	50
SNP20	selectedExposure	selectedOutcome	0.15485150574233	0.022375029400987	0.0219656545805672	0.287737356904092	0.552319231923192	4.24404220149441e-09	0.516805764333811	3.70014601860367e-08	NA	NA	100
SNP9	selectedExposure	selectedOutcome	0.101067130410995	0.0836939502640532	-0.0134581522794948	0.215592413101485	0.474449861246531	1.44929016955727e-13	0.483628347726056	4.03799890016828e-13	NA	NA	200
SNP28	selectedExposure	selectedOutcome	0.15357194938636	0.00127408164497216	0.0601460005062573	0.246997898266462	0.487187635418171	0	0.504504660099918	8.9123890336773e-21	NA	NA	300
SNP29	selectedExposure	selectedOutcome	0.120422421092477	0.185729978736425	-0.0579351510266307	0.298779993211585	0.590831083108311	0	0.546593655385516	4.02917442121075e-09	NA	NA	100
SNP21	selectedExposure	selectedOutcome	0.160096505961854	0.0556150968502129	-0.00384126561123771	0.324034277534946	0.518249456236406	0	0.487011865855637	2.62148461641217e-13	NA	NA	200
SNP8	selectedExposure	selectedOutcome	0.0760705000300162	0.194397038393074	-0.0388232692783417	0.190964269338374	0.438382648696097	0	0.458689645399258	5.14814560865066e-17	NA	NA	300
