IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP24	selectedExposure	selectedOutcome	0.265441283124588	0.00266412135156906	0.0922565914984288	0.438625974750747	0.509006900690069	9.97961642974566e-08	0.554796649147356	2.10462190094423e-09	NA	NA	100
SNP11	selectedExposure	selectedOutcome	0.0983617942198469	0.164143090914285	-0.0402061015160258	0.23692968995572	0.444554113852846	6.0349640304346e-11	0.490545238301869	1.66113234199217e-13	NA	NA	200
SNP17	selectedExposure	selectedOutcome	0.148487647914031	0.00851323791387855	0.0378720225137328	0.259103273314328	0.537959310659007	0	0.544210616739558	1.57930303318449e-24	NA	NA	300
SNP38	selectedExposure	selectedOutcome	0.256809821169223	0.00805603776397817	0.0668503186508196	0.446769323687626	0.512509003601441	0.000174851864031991	0.53321149212966	6.69563698613515e-05	NA	NA	50
SNP21	selectedExposure	selectedOutcome	0.15578012696477	0.0703890058420959	-0.0129628661220391	0.324523120051578	0.358403840384038	0.000274383212463216	0.338295919387764	0.000576336496677033	NA	NA	100
SNP30	selectedExposure	selectedOutcome	0.0883779318848053	0.145728130454233	-0.0306893385653795	0.20744520233499	0.321476036900923	3.90865406359566e-06	0.37004874924041	6.92307028044448e-08	NA	NA	200
SNP21	selectedExposure	selectedOutcome	0.139266126923581	0.017351729925954	0.0245384130029899	0.253993840844171	0.409003211146791	1.733487081144e-13	0.426942656464723	1.01371205197333e-14	NA	NA	300
SNP19	selectedExposure	selectedOutcome	0.201481117260283	0.00517423464977606	0.060244231553221	0.342718002967345	0.457845784578458	2.20323362797716e-06	0.455326952709411	1.9379483592655e-06	NA	NA	100
SNP27	selectedExposure	selectedOutcome	0.0542747309385427	0.445804327015558	-0.0852485473833743	0.19379800926046	0.437218930473262	1.39475755944268e-10	0.441957506978765	5.69510689016964e-11	NA	NA	200
SNP14	selectedExposure	selectedOutcome	0.0132653510557499	0.84108627057192	-0.116405797054238	0.142936499165737	0.370527228080312	4.68748713527714e-11	0.388593146612029	2.97902211534793e-12	NA	NA	300
SNP24	selectedExposure	selectedOutcome	0.0951062690267213	0.135192829776381	-0.0296682139569764	0.219880752010419	0.324273709483794	0.0220230897040159	0.333316709920547	0.018011919069175	NA	NA	50
SNP18	selectedExposure	selectedOutcome	0.178674986092717	0.0327868021054966	0.014624250673426	0.342725721512007	0.372157215721572	0.000152949243146134	0.440159668692974	4.59571095806906e-06	NA	NA	100
SNP10	selectedExposure	selectedOutcome	0.162145412717993	0.0186402712098565	0.0270639335245195	0.297226891911466	0.548433210830271	0	0.546527788552544	5.69404363415047e-17	NA	NA	200
SNP25	selectedExposure	selectedOutcome	0.140312391965758	0.0215738439033627	0.0206289376895234	0.259995846241994	0.465850953899488	0	0.445641313526648	4.82706780155149e-16	NA	NA	300
SNP13	selectedExposure	selectedOutcome	0.181959768162581	0.0250493736172015	0.0227934054904599	0.341126130834702	0.577077707770777	1.89575506562928e-10	0.560615876820972	1.31345806487891e-09	NA	NA	100
SNP28	selectedExposure	selectedOutcome	0.172211910243598	0.0229167811791082	0.0238356569900819	0.320588163497115	0.473143328583215	3.797707216139e-13	0.480569799393653	5.94291897189839e-13	NA	NA	200
SNP19	selectedExposure	selectedOutcome	0.127082698332156	0.0700607553080972	-0.0104138963653787	0.264579293029691	0.427368304092268	0	0.46929364013317	7.77159609581045e-18	NA	NA	300
SNP27	selectedExposure	selectedOutcome	0.188620625424459	0.0542530934928199	-0.00344486297132104	0.38068611382024	0.551596638655462	4.4421094812218e-05	0.610974071211324	2.44952992152488e-06	NA	NA	50
SNP27	selectedExposure	selectedOutcome	0.216912478600253	0.0111424972078812	0.0494154311116661	0.384409526088841	0.383222322232223	9.38497930682164e-05	0.425543865167822	1.01643281632613e-05	NA	NA	100
SNP30	selectedExposure	selectedOutcome	0.117933348207384	0.0764869676615622	-0.0125506921389871	0.248417388553756	0.43272031800795	2.28175316224177e-10	0.48112228809408	5.54378008695701e-13	NA	NA	200
SNP13	selectedExposure	selectedOutcome	0.14304379311744	0.0192063237437824	0.0233083906594629	0.262779195575418	0.49846331625907	0	0.503438676469439	1.10684992839006e-20	NA	NA	300
SNP13	selectedExposure	selectedOutcome	0.097822386038541	0.265431603281203	-0.0743405471023777	0.26998531917946	0.419009900990099	1.72122385091936e-05	0.447054516619544	3.11966422931044e-06	NA	NA	100
SNP13	selectedExposure	selectedOutcome	0.0407700473221301	0.576312590664677	-0.102234309750873	0.183774404395134	0.424030600765019	5.70064099150944e-10	0.418126627689046	7.241807761328e-10	NA	NA	200
SNP3	selectedExposure	selectedOutcome	0.176847640965949	0.00140051591642918	0.0683454790379155	0.285349802893983	0.43266658518428	0	0.44475375156205	5.60147211639696e-16	NA	NA	300
SNP12	selectedExposure	selectedOutcome	0.174708400466408	0.0433493579870546	0.00522000909084389	0.344196791841972	0.492997299729973	2.77002322513303e-07	0.484787404265961	3.20183255384278e-07	NA	NA	100
SNP27	selectedExposure	selectedOutcome	0.229335718188936	0.000904823003609703	0.0938885648416295	0.364782871536243	0.545130128253206	0	0.545859404358349	6.31938115772507e-17	NA	NA	200
SNP26	selectedExposure	selectedOutcome	0.0182465406880077	0.791015808138697	-0.116710721168896	0.153203802544911	0.392789253213925	2.27232951736659e-12	0.425117308796333	1.35105521122495e-14	NA	NA	300
SNP17	selectedExposure	selectedOutcome	0.0795986144053815	0.250893943559916	-0.0562775652859621	0.215474794096725	0.352605042016807	0.0124149728145783	0.396796022454915	0.00433156126342801	NA	NA	50
SNP1	selectedExposure	selectedOutcome	0.253909890107938	0.00150640637048921	0.0970916697705109	0.410728110445365	0.428058805880588	1.0884785793492e-05	0.528386788862647	1.60261876460065e-08	NA	NA	100
SNP3	selectedExposure	selectedOutcome	0.131857651837664	0.0516159208849919	-0.000924118581619809	0.264639422256948	0.481170029250731	0	0.517067156829032	4.55002903036078e-15	NA	NA	200
SNP28	selectedExposure	selectedOutcome	0.138535479400562	0.00183098878318903	0.0514067171228388	0.225664241678285	0.432217691307681	0	0.44512362184809	5.26498021806673e-16	NA	NA	300
SNP19	selectedExposure	selectedOutcome	0.0780347058396169	0.370768945839626	-0.0928473203883711	0.248916732067605	0.581752701080432	1.38436800776886e-05	0.599056423917636	4.30474778432378e-06	NA	NA	50
SNP22	selectedExposure	selectedOutcome	0.111984461482459	0.160438262412388	-0.0443889010225231	0.268357823987441	0.522832283228323	3.94104042472172e-08	0.540639608070171	6.38604043300746e-09	NA	NA	100
SNP25	selectedExposure	selectedOutcome	0.0460230897973103	0.573489384923439	-0.114219225578512	0.206265405173133	0.364228605715143	1.41651595352484e-07	0.378698636717653	3.21388797387576e-08	NA	NA	200
SNP27	selectedExposure	selectedOutcome	0.136937236806327	0.0195352352074722	0.0220018878883955	0.251872585724258	0.521065789619885	0	0.518783037539232	4.54253578126151e-22	NA	NA	300
SNP24	selectedExposure	selectedOutcome	0.0877868213431607	0.308607088411598	-0.0812051292924807	0.256778771978802	0.519903961584634	0.000136498263778098	0.500203701814601	0.000216518484558744	NA	NA	50
