IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP6	selectedExposure	selectedOutcome	-0.00855326584122857	0.915483614087714	-0.166519628324103	0.149413096641646	0.141194119411941	0.16091280259882	0.143946735513386	0.153055227479745	NA	NA	100
SNP26	selectedExposure	selectedOutcome	0.0440517612481261	0.490755310354966	-0.0812404518255383	0.169343974321791	0.102380559513988	0.149026685433317	0.11402889877264	0.107889371881864	NA	NA	200
SNP16	selectedExposure	selectedOutcome	0.0130359814679	0.806033901202223	-0.0910181748386194	0.117090137774419	0.04903521150235	0.397182896296346	0.0811294149182223	0.161020412713542	NA	NA	300
SNP1	selectedExposure	selectedOutcome	0.182925986075296	0.0128373131893563	0.0388374842104162	0.327014487940177	0.154957983193277	0.281664759779898	0.208148233431139	0.146906590007172	NA	NA	50
SNP22	selectedExposure	selectedOutcome	-0.025639223765214	0.757701885126385	-0.18853047801229	0.137252030481862	-0.00824482448244825	0.935041301319486	0.0175991285584686	0.862028866648674	NA	NA	100
SNP3	selectedExposure	selectedOutcome	0.00117353238550216	0.982205037870081	-0.10194818926207	0.104295254033074	0.0894442361059027	0.207650653129564	0.0776288835509866	0.274566582090683	NA	NA	200
SNP10	selectedExposure	selectedOutcome	0.00963846065116991	0.85143184165829	-0.0912257225499711	0.110502643852311	0.17611040122668	0.00223109137545847	0.170208274306903	0.00310249476085397	NA	NA	300
SNP14	selectedExposure	selectedOutcome	0.118530043758997	0.119782517323587	-0.0308024395890487	0.267862527107043	0.144393757503001	0.316071053769376	0.0881000039479633	0.542929194567883	NA	NA	50
SNP28	selectedExposure	selectedOutcome	-0.0136496696199218	0.84185431970522	-0.147734336750103	0.120434997510259	0.0867326732673267	0.390249306942465	0.132438780659955	0.189003977557292	NA	NA	100
SNP5	selectedExposure	selectedOutcome	-0.00781297181899178	0.913522028159646	-0.148821686936252	0.133195743298268	-0.0100427510687767	0.887667264799668	0.0120220899673681	0.865829322758395	NA	NA	200
SNP16	selectedExposure	selectedOutcome	0.0434088023941667	0.353858944763498	-0.0483579101241059	0.135175514912439	0.22916832409249	6.44922828219794e-05	0.226487630925348	7.55615236256448e-05	NA	NA	300
SNP29	selectedExposure	selectedOutcome	-0.107461852333637	0.24495768629324	-0.288612825677061	0.0736891210097868	0.112989195678271	0.433484885667378	0.165217571761848	0.251540002873798	NA	NA	50
SNP16	selectedExposure	selectedOutcome	-0.00880882046151981	0.907335852671028	-0.157133822461346	0.139516181538306	0.0946894689468947	0.348117531724378	0.0821342753783292	0.416567709456937	NA	NA	100
SNP28	selectedExposure	selectedOutcome	-0.0910242217342464	0.164171945949755	-0.219264032342348	0.0372155888738546	-0.0838385959648991	0.237657226651957	-0.083928755757822	0.237373177429943	NA	NA	200
SNP15	selectedExposure	selectedOutcome	0.0215532797817975	0.619495346800847	-0.0635183476366414	0.106624907200236	0.0932450360559562	0.106974464032936	0.103367827691008	0.0738243120425052	NA	NA	300
SNP19	selectedExposure	selectedOutcome	-0.0424582348513904	0.565805599173639	-0.187374389744658	0.102457920041877	-0.0705402160864346	0.625446631909411	-0.118484116643455	0.412494850597544	NA	NA	50
SNP29	selectedExposure	selectedOutcome	-0.0379291890874572	0.607920037189314	-0.182828534708369	0.106970156533455	-0.0336153615361536	0.739472391961512	-0.000997659253555375	0.992140036244384	NA	NA	100
SNP12	selectedExposure	selectedOutcome	-0.0240925511666748	0.682827863716501	-0.139657131596066	0.0914720292627166	0.0596444911122778	0.401170440713511	0.0598803265482072	0.399629102699331	NA	NA	200
SNP6	selectedExposure	selectedOutcome	0.00464410429743256	0.935854214875786	-0.108453486165573	0.117741694760439	0.0609500105556728	0.292500423989779	0.0469206519418115	0.418087959009703	NA	NA	300
SNP24	selectedExposure	selectedOutcome	-0.0317142084199709	0.669371685846431	-0.177281372435191	0.113852955595249	0.285280528052805	0.00413720068216986	0.314246949853503	0.00145240897674066	NA	NA	100
SNP10	selectedExposure	selectedOutcome	0.133610558942516	0.0248262710741717	0.016916813864145	0.250304304020886	0.0608310207755194	0.391855484745576	0.053650171510683	0.450539518557329	NA	NA	200
SNP9	selectedExposure	selectedOutcome	-0.0198833936733023	0.651334597812235	-0.106119211826804	0.066352424480199	0.13265214057934	0.0216129512559931	0.110178195944454	0.0566264988195842	NA	NA	300
SNP15	selectedExposure	selectedOutcome	0.140768369187831	0.148510856247809	-0.050191451396245	0.331728189771908	0.275102040816327	0.053482649707251	0.276088906897948	0.0522859653806692	NA	NA	50
SNP25	selectedExposure	selectedOutcome	0.109238473275562	0.157638514013277	-0.0422792934335188	0.260756239984643	0.323216321632163	0.00109688229071143	0.320503697035116	0.00115020067895657	NA	NA	100
