IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP28	selectedExposure	selectedOutcome	0.0877628550094181	0.177180481195691	-0.0397018708750735	0.21522758089391	0.205796579657966	0.0401280459942374	0.221224109278338	0.0269728579571037	NA	NA	100
SNP10	selectedExposure	selectedOutcome	0.0452269219488287	0.340595868752357	-0.0477890303794517	0.138242874277109	0.00801620040501013	0.910229430617669	0.00415680067525178	0.953415823229823	NA	NA	200
SNP8	selectedExposure	selectedOutcome	0.0702992126984776	0.129379353166172	-0.0205540866338079	0.161152512030763	0.112603917821309	0.0514043190642101	0.13000528133405	0.0243271817608092	NA	NA	300
SNP16	selectedExposure	selectedOutcome	0.0242045189026088	0.722697229904451	-0.109483348713548	0.157892386518766	0.00821128451380552	0.954961483030543	0.00852868776642096	0.953125249645039	NA	NA	50
SNP20	selectedExposure	selectedOutcome	0.0204589640011887	0.724663568319897	-0.093382834942916	0.134300762945293	0.142298229822982	0.157638968617621	0.120715059244844	0.23155832532732	NA	NA	100
SNP13	selectedExposure	selectedOutcome	-0.0430953148827895	0.465470993572832	-0.158822114365823	0.0726314846002441	0.101803045076127	0.151342411404162	0.0902308439918388	0.203852486593491	NA	NA	200
SNP2	selectedExposure	selectedOutcome	0.0581577261262572	0.31492073818438	-0.0552678216729694	0.171583273925484	0.0567077411971244	0.327435786462645	0.0482969539492856	0.404550350635414	NA	NA	300
SNP22	selectedExposure	selectedOutcome	-0.0599041910315885	0.476834011711212	-0.224944141767735	0.105135759704558	0.0607500750075008	0.54761999427175	0.0789220403668777	0.435086927964092	NA	NA	100
SNP30	selectedExposure	selectedOutcome	-0.00851785931762602	0.888311023809854	-0.127390666983412	0.11035494834816	0.0780604515112878	0.271645326947695	0.0970206560807718	0.171717653377701	NA	NA	200
SNP23	selectedExposure	selectedOutcome	-0.0316640825276616	0.5259648272022	-0.129523809493627	0.066195644438304	0.121935577061967	0.0348224408217291	0.134042132838158	0.0202073262518786	NA	NA	300
SNP6	selectedExposure	selectedOutcome	0.00832135475558139	0.905419351408648	-0.128943382936837	0.145586092448	0.140840336134454	0.328224897471636	0.104649959459791	0.469520096825341	NA	NA	50
SNP22	selectedExposure	selectedOutcome	-0.000500499714232794	0.99428524610178	-0.137459551493075	0.13645855206461	0.0831923192319232	0.40994037634572	0.051576968916723	0.610314495265295	NA	NA	100
SNP23	selectedExposure	selectedOutcome	-0.0674451197830995	0.37736266005358	-0.217190341874238	0.0823001023080389	0.0168379209480237	0.812773541053544	0.0579646723579435	0.414905280251719	NA	NA	200
SNP21	selectedExposure	selectedOutcome	-0.0220654660580787	0.678231326478045	-0.126307037187549	0.0821761050713914	0.0692065467394082	0.231894236054918	0.0854677512258989	0.139710898771961	NA	NA	300
SNP5	selectedExposure	selectedOutcome	0.137542536369729	0.101562522220007	-0.0271030728551351	0.302188145594594	0.25047704770477	0.0121357042703696	0.345829866796228	0.000424738372891092	NA	NA	100
SNP22	selectedExposure	selectedOutcome	0.0840312834785315	0.20733140201114	-0.046584470463349	0.214647037420412	-0.0413755343883597	0.560446119357517	-0.0343426907092931	0.629253954095719	NA	NA	200
SNP25	selectedExposure	selectedOutcome	0.0191757797709164	0.668527137238057	-0.0686019985297928	0.106953558071626	0.134868165201836	0.0195046209069454	0.140861670124773	0.0146143564459374	NA	NA	300
SNP22	selectedExposure	selectedOutcome	0.0306035327976464	0.690061404072118	-0.119812899795638	0.181019965390931	0.236974789915966	0.0975441481664277	0.216168455731766	0.131613111535159	NA	NA	50
SNP12	selectedExposure	selectedOutcome	0.207716356344252	0.0352521451156385	0.0143531538388504	0.401079558849653	0.243396339633963	0.0148686695090014	0.238290214682222	0.0169660660908005	NA	NA	100
SNP1	selectedExposure	selectedOutcome	-0.01011663994641	0.871618566804605	-0.132813998112401	0.112580718219581	0.00392409810245256	0.955989343611561	-0.0300245587218649	0.672992119349819	NA	NA	200
SNP26	selectedExposure	selectedOutcome	0.0358636294124736	0.587863191280494	-0.0938408636461467	0.165568122471094	0.17405082278692	0.00251586386234386	0.17844131924116	0.00191744003631677	NA	NA	300
SNP19	selectedExposure	selectedOutcome	0.0236232797977399	0.718521365056062	-0.104834536768855	0.152081096364335	0.0616141614161416	0.541930405603254	0.122171381352972	0.225935350328537	NA	NA	100
SNP2	selectedExposure	selectedOutcome	0.0150243801228288	0.803998812661742	-0.103630657243509	0.133679417489167	0.0126513162829071	0.858760569258675	0.0394073120061709	0.57956131379374	NA	NA	200
SNP14	selectedExposure	selectedOutcome	-0.0519022583028354	0.315588160405338	-0.153267412478997	0.0494628958733258	0.0148921654685052	0.797159102368252	0.0569912519565731	0.325215646809176	NA	NA	300
SNP12	selectedExposure	selectedOutcome	0.0645793539517451	0.431541396235479	-0.096341279875243	0.225499987778733	-0.00084008400840084	0.993416576780491	-0.0336362729778645	0.739717216411729	NA	NA	100
SNP26	selectedExposure	selectedOutcome	-0.0709479285189907	0.200313738424399	-0.179529111040047	0.0376332540020658	0.0379524488112203	0.593351386580378	0.0771725879612658	0.27740598571769	NA	NA	200
SNP20	selectedExposure	selectedOutcome	-0.0650922198063549	0.238975109206076	-0.173434243594258	0.0432498039815482	0.0526005844509383	0.363726497998853	0.0599356379114865	0.300803252906485	NA	NA	300
SNP26	selectedExposure	selectedOutcome	-0.0727494145679319	0.32810033044278	-0.218550947076052	0.0730521179401887	-0.202881152460984	0.15727388579083	-0.174772804129844	0.224769771896969	NA	NA	50
SNP10	selectedExposure	selectedOutcome	0.0677064081348267	0.361817872933911	-0.0778152029622513	0.213228019231905	0.0482688268826883	0.632898835224604	0.0359227200989685	0.722720411020655	NA	NA	100
SNP6	selectedExposure	selectedOutcome	0.0664937903807696	0.198046773641402	-0.0347584476514673	0.167746028413007	0.0723108077701943	0.308609407814946	0.0858002735002333	0.227038628347741	NA	NA	200
SNP4	selectedExposure	selectedOutcome	0.0238515777133006	0.731024689479502	-0.112138224836139	0.15984138026274	0.118596428849209	0.0401397874443062	0.139589977271566	0.0155404379685751	NA	NA	300
SNP23	selectedExposure	selectedOutcome	-0.0237680716700077	0.778013395727725	-0.189014969082379	0.141478825742364	0.100888355342137	0.48456283246893	0.157814227351057	0.273706394388751	NA	NA	50
SNP23	selectedExposure	selectedOutcome	0.0427529188766398	0.607217303945249	-0.120255045847545	0.205760883600825	0.0806000600060006	0.424721455594404	0.0953666201481697	0.345256703484636	NA	NA	100
SNP30	selectedExposure	selectedOutcome	0.133226713341394	0.0171060533514253	0.0237160029182513	0.242737423764536	0.132640816020401	0.0612027043956538	0.130805584678289	0.0648609106254687	NA	NA	200
SNP14	selectedExposure	selectedOutcome	-0.0280470446209634	0.576400984744376	-0.126447208345943	0.0703531191040164	0.115327503638929	0.0459942851011401	0.129416270359562	0.0249851193930761	NA	NA	300
SNP30	selectedExposure	selectedOutcome	0.0198187728679646	0.709707802108354	-0.0845310791979471	0.124168624933876	0.133061224489796	0.355849668421203	-0.0170324392365305	0.906543268320944	NA	NA	50
SNP18	selectedExposure	selectedOutcome	0.0870463375164666	0.238428735937293	-0.0576684990965892	0.231761174129522	0.138421842184218	0.169356368576207	0.136166275410603	0.17674533197278	NA	NA	100
SNP7	selectedExposure	selectedOutcome	0.0206598091037215	0.701588872793774	-0.0850159767129929	0.126335594920436	0.179971499287482	0.0108550089391865	0.190642619535439	0.00685020587744178	NA	NA	200
SNP14	selectedExposure	selectedOutcome	0.0541570719825158	0.29878777654301	-0.0480009503282876	0.156315094293319	0.112715919065767	0.0511718200495694	0.112239468920206	0.0521286739158859	NA	NA	300
SNP15	selectedExposure	selectedOutcome	0.0547304444141282	0.557509257458512	-0.128153528697924	0.23761441752618	0.126528652865287	0.209321097237304	0.146041450721546	0.147103384242081	NA	NA	100
SNP1	selectedExposure	selectedOutcome	0.0378865244775673	0.586660709044017	-0.0986938671170487	0.174466916072183	0.0891067276681917	0.209376141140173	0.110256868977088	0.120128034444988	NA	NA	200
SNP19	selectedExposure	selectedOutcome	0.0381025777616664	0.540952045175118	-0.0840479984734246	0.160253153996757	0.125077389748775	0.0303786716190317	0.123501732370661	0.032486279630483	NA	NA	300
SNP7	selectedExposure	selectedOutcome	0.0358473643799593	0.604474313320956	-0.0997948407036435	0.171489569463562	0.324081632653061	0.0221053042574675	0.194877590497704	0.17504103500752	NA	NA	50
SNP4	selectedExposure	selectedOutcome	-0.00486438874960507	0.948097244795014	-0.151324506336054	0.141595728836844	0.106126612661266	0.292781131581945	0.0927464110571195	0.358732071940171	NA	NA	100
SNP21	selectedExposure	selectedOutcome	-0.0429743352892122	0.507697451573348	-0.17012512932113	0.0841764587427058	0.116507912697817	0.10036927583603	0.1046555222255	0.140258635167529	NA	NA	200
SNP27	selectedExposure	selectedOutcome	0.0369598350947189	0.403528372381175	-0.049759661947407	0.123679332136845	0.10124956943966	0.0799735512776598	0.101769551342141	0.0784224532961097	NA	NA	300
SNP21	selectedExposure	selectedOutcome	0.00076340669774846	0.991605623311928	-0.141452329102341	0.142979142497838	0.22265656641416	0.00156583443952029	0.201861207871118	0.0041514003257598	NA	NA	200
SNP8	selectedExposure	selectedOutcome	-0.0832511489424973	0.171413785029553	-0.202555250405618	0.0360529525206235	0.0562335137057078	0.33150223240341	0.06694207389297	0.247710866735808	NA	NA	300
SNP30	selectedExposure	selectedOutcome	-0.0500799997669747	0.442497305990353	-0.177888819061693	0.0777288195277436	-0.115390156062425	0.423724993794317	-0.0846987458466218	0.558672197577175	NA	NA	50
SNP24	selectedExposure	selectedOutcome	-0.0276395872994493	0.657574621255737	-0.14985246009114	0.094573285492241	0.151707170717072	0.131734915966635	0.134547358338878	0.181995816996754	NA	NA	100
SNP5	selectedExposure	selectedOutcome	0.0922981517570335	0.0890974465896829	-0.0141030908521303	0.198699394366197	0.0922343058576465	0.193778198916571	0.060958024555737	0.3911847086936	NA	NA	200
SNP30	selectedExposure	selectedOutcome	-0.0224708349847884	0.652166954460127	-0.120178321378973	0.0752366514093962	0.164643162701808	0.00428555904328853	0.176782152257109	0.00211623292557399	NA	NA	300
SNP3	selectedExposure	selectedOutcome	0.10182198512007	0.0327364991700529	0.00836092207850421	0.195283048161636	0.174645858343337	0.224396362894063	0.117449561375225	0.41661649435031	NA	NA	50
SNP7	selectedExposure	selectedOutcome	0.0256475117008012	0.676446497003406	-0.0948081361126261	0.146103159514229	0.144675616890422	0.0410329803290164	0.140398285769097	0.0473765057080367	NA	NA	200
SNP1	selectedExposure	selectedOutcome	0.119782418338455	0.0414785375330788	0.00462689514087145	0.234937941536039	0.158516427960311	0.00597790807134876	0.170881041229813	0.00298517926875805	NA	NA	300
SNP4	selectedExposure	selectedOutcome	-0.0664236077382172	0.319877416598647	-0.197303866648464	0.0644566511720299	0.0191596638655462	0.894801612254543	-0.011323015378195	0.937793716868528	NA	NA	50
SNP24	selectedExposure	selectedOutcome	-0.0414426941966124	0.57944415894893	-0.188008293438631	0.105122905045406	-0.141374137413741	0.16037558930584	-0.155614235558789	0.122101654976402	NA	NA	100
SNP4	selectedExposure	selectedOutcome	0.00443530565041857	0.933133764584844	-0.0991732272441455	0.108043838544983	-0.0109862746568664	0.877192421600955	0.00746126592570119	0.916488248410266	NA	NA	200
SNP15	selectedExposure	selectedOutcome	-0.0832434555785065	0.0807906222942325	-0.176681738525747	0.0101948273687344	-0.0145988288758764	0.801070230957647	0.00930178306143071	0.872532520375917	NA	NA	300
SNP17	selectedExposure	selectedOutcome	-0.00991446989897826	0.880178563904084	-0.138822759266873	0.118993819468917	0.00410441044104411	0.967659632313043	0.0169804254654627	0.866833876309004	NA	NA	100
