IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP2; SNP6; SNP8; SNP12; SNP20; SNP29	selectedExposure	selectedOutcome	0.0432695612067951	0.355793629657814	-0.0485713219622275	0.135110444375818	0.304201680672269	0.0321438077148523	0.293347344185863	0.0386830044457117	NA	NA	50
SNP1; SNP2; SNP3; SNP6; SNP9; SNP12; SNP18; SNP19; SNP20; SNP22; SNP24; SNP29; SNP30	selectedExposure	selectedOutcome	0.117308518872133	2.0847496123157e-05	0.0632809671172916	0.171336070626974	0.434479447944795	7.80465514339635e-06	0.420065932615616	1.35587020759252e-05	NA	NA	100
SNP1; SNP2; SNP4; SNP6; SNP7; SNP8; SNP9; SNP10; SNP12; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP21; SNP23; SNP24; SNP25; SNP26; SNP27; SNP29; SNP30	selectedExposure	selectedOutcome	0.132618343146917	1.98170800003533e-11	0.0938658382689231	0.171370848024911	0.495114377859447	0	0.522559481982099	2.07578400314111e-15	NA	NA	200
SNP1; SNP2; SNP3; SNP5; SNP7; SNP8; SNP9; SNP10; SNP11; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.114889365018877	2.68835365088118e-12	0.0826892954679722	0.147089434569782	0.439917332414805	0	0.456761571771262	7.20965467249057e-17	NA	NA	300
SNP2; SNP3; SNP5; SNP12; SNP14; SNP15; SNP27; SNP30	selectedExposure	selectedOutcome	0.165984258763749	0.00121554668974788	0.0654271097748938	0.266541407752604	0.639951980792317	1.12079884651541e-06	0.554157610946099	2.97734861762934e-05	NA	NA	50
SNP2; SNP3; SNP12; SNP13; SNP17; SNP21; SNP22; SNP24; SNP29	selectedExposure	selectedOutcome	0.140413769106912	0.00257923644926241	0.0491011525337265	0.231726385680098	0.437203720372037	6.76439135797554e-06	0.40728983372342	2.60462698630443e-05	NA	NA	100
SNP1; SNP2; SNP3; SNP4; SNP6; SNP8; SNP11; SNP13; SNP14; SNP16; SNP17; SNP18; SNP19; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.133045532382108	5.80329794443001e-12	0.095167927976532	0.170923136787683	0.541836045901148	0	0.501221833101621	4.05189401881261e-14	NA	NA	200
SNP1; SNP3; SNP4; SNP6; SNP7; SNP9; SNP10; SNP11; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP27; SNP28; SNP30	selectedExposure	selectedOutcome	0.0964283874577727	3.70412753357053e-07	0.0592505192323295	0.133606255683216	0.393569261880688	2.02801400258322e-12	0.388363256080816	3.07562081937313e-12	NA	NA	300
SNP3; SNP4; SNP16; SNP18; SNP20; SNP21; SNP25	selectedExposure	selectedOutcome	0.221360820320798	0.000146049634665884	0.107117950106671	0.335603690534925	0.510108043217287	0.000189278609826145	0.498522585417578	0.000229131568852805	NA	NA	50
SNP1; SNP2; SNP4; SNP7; SNP8; SNP12; SNP15; SNP17; SNP20; SNP22; SNP24; SNP25; SNP26; SNP29	selectedExposure	selectedOutcome	0.148240904230371	1.54487714414699e-06	0.0877775961567707	0.208704212303971	0.552319231923192	4.24404220149441e-09	0.516805764333811	3.70014601860367e-08	NA	NA	100
SNP2; SNP3; SNP4; SNP6; SNP8; SNP9; SNP10; SNP11; SNP12; SNP13; SNP15; SNP16; SNP19; SNP20; SNP22; SNP23; SNP25; SNP26; SNP27; SNP29; SNP30	selectedExposure	selectedOutcome	0.133182304331966	1.09207150654812e-08	0.0875134909760065	0.178851117687925	0.474449861246531	1.44929016955727e-13	0.483628347726056	4.03799890016828e-13	NA	NA	200
