IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP4; SNP12; SNP16	selectedExposure	selectedOutcome	0.245487971838916	0.00133314866834324	0.0955392152607555	0.395436728417076	0.631980792316927	1.60889012968663e-06	0.596047813341715	4.94555462392082e-06	NA	NA	50
SNP2; SNP5; SNP6; SNP9; SNP12; SNP15; SNP17; SNP21; SNP22; SNP24; SNP25; SNP29	selectedExposure	selectedOutcome	0.165857528809555	7.98444123689693e-06	0.0930622194583963	0.238652838160713	0.509006900690069	9.97961642974566e-08	0.554796649147356	2.10462190094423e-09	NA	NA	100
SNP2; SNP3; SNP4; SNP6; SNP7; SNP8; SNP9; SNP11; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP22; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29	selectedExposure	selectedOutcome	0.120895275839405	7.21239166797662e-10	0.0824377795556124	0.159352772123198	0.444554113852846	6.0349640304346e-11	0.490545238301869	1.66113234199217e-13	NA	NA	200
SNP1; SNP2; SNP4; SNP5; SNP7; SNP8; SNP9; SNP10; SNP11; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP18; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.141179351599686	1.05611930182017e-17	0.108882721559002	0.17347598164037	0.537959310659007	0	0.544210616739558	1.57930303318449e-24	NA	NA	300
SNP3; SNP7; SNP9; SNP11; SNP14; SNP17; SNP28	selectedExposure	selectedOutcome	0.142577327224828	0.069387678360766	-0.0113124229414987	0.296467077391155	0.512509003601441	0.000174851864031991	0.53321149212966	6.69563698613515e-05	NA	NA	50
SNP1; SNP4; SNP5; SNP9; SNP16; SNP20; SNP21; SNP27; SNP29; SNP30	selectedExposure	selectedOutcome	0.108104044538178	0.00432314832696016	0.0338530900438595	0.182354999032496	0.358403840384038	0.000274383212463216	0.338295919387764	0.000576336496677033	NA	NA	100
SNP1; SNP2; SNP3; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP13; SNP16; SNP17; SNP18; SNP19; SNP21; SNP22; SNP23; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.0807564758247212	2.29036990562582e-05	0.0433780577167777	0.118134893932665	0.321476036900923	3.90865406359566e-06	0.37004874924041	6.92307028044448e-08	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP8; SNP9; SNP10; SNP12; SNP13; SNP14; SNP15; SNP16; SNP18; SNP19; SNP21; SNP22; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.10467731337585	1.8589272291829e-09	0.0705384159479397	0.13881621080376	0.409003211146791	1.733487081144e-13	0.426942656464723	1.01371205197333e-14	NA	NA	300
SNP1; SNP6; SNP13; SNP14; SNP21; SNP23	selectedExposure	selectedOutcome	0.0888019850835269	0.151743045505705	-0.0326215355451611	0.210225505712215	0.214597839135654	0.134283620111629	0.222953627773395	0.119635055897724	NA	NA	50
SNP1; SNP5; SNP7; SNP10; SNP11; SNP12; SNP16; SNP17; SNP18; SNP19; SNP24; SNP25; SNP26; SNP27; SNP28; SNP30	selectedExposure	selectedOutcome	0.145743194620642	1.86570068885789e-08	0.0949518219013889	0.196534567339894	0.457845784578458	2.20323362797716e-06	0.455326952709411	1.9379483592655e-06	NA	NA	100
SNP1; SNP2; SNP3; SNP7; SNP8; SNP9; SNP11; SNP12; SNP13; SNP14; SNP15; SNP18; SNP19; SNP20; SNP22; SNP23; SNP25; SNP27; SNP28; SNP30	selectedExposure	selectedOutcome	0.101307921089179	4.55862932293397e-05	0.0526075577102681	0.15000828446809	0.437218930473262	1.39475755944268e-10	0.441957506978765	5.69510689016964e-11	NA	NA	200
SNP1; SNP3; SNP4; SNP5; SNP6; SNP7; SNP9; SNP10; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.0962401976095582	5.63224766388934e-05	0.049407812229117	0.143072582989999	0.370527228080312	4.68748713527714e-11	0.388593146612029	2.97902211534793e-12	NA	NA	300
SNP2; SNP4; SNP9; SNP11; SNP14; SNP16; SNP22; SNP24; SNP26; SNP30	selectedExposure	selectedOutcome	0.0663736662659248	0.0184549300404351	0.0111656791854778	0.121581653346372	0.324273709483794	0.0220230897040159	0.333316709920547	0.018011919069175	NA	NA	50
SNP1; SNP2; SNP15; SNP16; SNP17; SNP18; SNP20; SNP21; SNP23; SNP24; SNP26	selectedExposure	selectedOutcome	0.131067742512611	8.18319701475402e-05	0.0658506887051111	0.196284796320111	0.372157215721572	0.000152949243146134	0.440159668692974	4.59571095806906e-06	NA	NA	100
SNP1; SNP3; SNP4; SNP6; SNP7; SNP9; SNP10; SNP13; SNP14; SNP16; SNP17; SNP19; SNP20; SNP21; SNP22; SNP23; SNP24; SNP26; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.122784828083114	1.47166894130857e-08	0.0803027644023855	0.165266891763843	0.548433210830271	0	0.546527788552544	5.69404363415047e-17	NA	NA	200
SNP2; SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP10; SNP12; SNP13; SNP14; SNP16; SNP17; SNP18; SNP19; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.108314877390766	9.91407342001692e-10	0.0735741405475062	0.143055614234025	0.465850953899488	0	0.445641313526648	4.82706780155149e-16	NA	NA	300
SNP6; SNP12; SNP14; SNP16; SNP23; SNP30	selectedExposure	selectedOutcome	0.165392033582427	0.0116088902520758	0.0369506105762693	0.293833456588585	0.553133253301321	4.1957701400404e-05	0.618038452043221	1.73437765973837e-06	NA	NA	50
SNP2; SNP3; SNP6; SNP9; SNP10; SNP11; SNP12; SNP13; SNP16; SNP17; SNP18; SNP22; SNP23; SNP29	selectedExposure	selectedOutcome	0.124452241547459	2.6309866021496e-05	0.0664206328133671	0.182483850281552	0.577077707770777	1.89575506562928e-10	0.560615876820972	1.31345806487891e-09	NA	NA	100
SNP1; SNP2; SNP3; SNP4; SNP5; SNP9; SNP10; SNP11; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP18; SNP19; SNP22; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.164923901497338	3.37374289714014e-13	0.120513412060505	0.209334390934172	0.473143328583215	3.797707216139e-13	0.480569799393653	5.94291897189839e-13	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP7; SNP9; SNP10; SNP11; SNP14; SNP15; SNP17; SNP18; SNP19; SNP21; SNP23; SNP24; SNP25; SNP26; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.13709057305473	8.31396546359204e-12	0.0977679603647297	0.17641318574473	0.427368304092268	0	0.46929364013317	7.77159609581045e-18	NA	NA	300
SNP13; SNP18; SNP22; SNP23; SNP24; SNP27	selectedExposure	selectedOutcome	0.268081268924507	6.2697967884346e-10	0.183108339388359	0.353054198460655	0.551596638655462	4.4421094812218e-05	0.610974071211324	2.44952992152488e-06	NA	NA	50
SNP4; SNP6; SNP12; SNP13; SNP14; SNP19; SNP20; SNP27; SNP29; SNP30	selectedExposure	selectedOutcome	0.1153609636892	0.00107010070213187	0.0462461587365703	0.184475768641829	0.383222322232223	9.38497930682164e-05	0.425543865167822	1.01643281632613e-05	NA	NA	100
SNP2; SNP3; SNP4; SNP6; SNP7; SNP8; SNP9; SNP10; SNP14; SNP15; SNP16; SNP17; SNP18; SNP21; SNP23; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.11903591857255	6.97907144654301e-09	0.0787511845961451	0.159320652548956	0.43272031800795	2.28175316224177e-10	0.48112228809408	5.54378008695701e-13	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP8; SNP9; SNP10; SNP11; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP21; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.130778356648274	5.40100577576072e-16	0.0991420812673374	0.16241463202921	0.49846331625907	0	0.503438676469439	1.10684992839006e-20	NA	NA	300
SNP2; SNP3; SNP5; SNP8; SNP17; SNP21; SNP27	selectedExposure	selectedOutcome	0.141430007559757	0.00231429651513607	0.050444695843061	0.232415319276452	0.563985594237695	2.78430986026552e-05	0.539828093331292	5.21350351573832e-05	NA	NA	50
SNP5; SNP6; SNP7; SNP10; SNP11; SNP13; SNP14; SNP15; SNP16; SNP17; SNP21; SNP22; SNP23; SNP24; SNP27	selectedExposure	selectedOutcome	0.116798151390487	0.000152560311673215	0.0563470374468988	0.177249265334076	0.419009900990099	1.72122385091936e-05	0.447054516619544	3.11966422931044e-06	NA	NA	100
SNP1; SNP2; SNP3; SNP4; SNP5; SNP7; SNP9; SNP10; SNP11; SNP12; SNP13; SNP14; SNP15; SNP16; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP29	selectedExposure	selectedOutcome	0.0951100375608111	2.46217275888515e-05	0.0509180824402221	0.1393019926814	0.424030600765019	5.70064099150944e-10	0.418126627689046	7.241807761328e-10	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP8; SNP9; SNP10; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP20; SNP21; SNP22; SNP23; SNP24; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.113009769664555	1.10870100146116e-08	0.0742407767491919	0.151778762579918	0.43266658518428	0	0.44475375156205	5.60147211639696e-16	NA	NA	300
SNP15; SNP22; SNP24; SNP26; SNP27; SNP30	selectedExposure	selectedOutcome	0.178914330589591	0.000351343885565065	0.0808031933666528	0.27702546781253	0.652629051620648	6.26324152508111e-07	0.646588940139683	3.9248538078726e-07	NA	NA	50
SNP5; SNP9; SNP10; SNP11; SNP12; SNP13; SNP15; SNP21; SNP22; SNP27; SNP29	selectedExposure	selectedOutcome	0.142638734657444	4.95072207089715e-06	0.0814223921654581	0.203855077149429	0.492997299729973	2.77002322513303e-07	0.484787404265961	3.20183255384278e-07	NA	NA	100
SNP2; SNP5; SNP6; SNP8; SNP11; SNP12; SNP13; SNP16; SNP17; SNP18; SNP20; SNP21; SNP23; SNP26; SNP27; SNP28	selectedExposure	selectedOutcome	0.169756463293321	8.51181982111462e-12	0.121040022796137	0.218472903790506	0.545130128253206	0	0.545859404358349	6.31938115772507e-17	NA	NA	200
SNP1; SNP2; SNP3; SNP5; SNP6; SNP7; SNP8; SNP9; SNP11; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP19; SNP21; SNP22; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.0948824973987571	2.05275720369261e-07	0.0590818547617615	0.130683140035753	0.392789253213925	2.27232951736659e-12	0.425117308796333	1.35105521122495e-14	NA	NA	300
