IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP1; SNP6; SNP21; SNP23	selectedExposure	selectedOutcome	0.0644978980675696	0.235112715909898	-0.041974330921692	0.170970127056831	0.254933973589436	0.0741654633772351	0.216893177398018	0.130292404641471	NA	NA	50
SNP6; SNP8; SNP9; SNP10; SNP13; SNP14; SNP15; SNP23; SNP25; SNP26; SNP29	selectedExposure	selectedOutcome	0.0229936877697214	0.433192880746724	-0.0345085692682005	0.0804959448076433	0.165340534053405	0.100150019900994	0.167365092908327	0.0960383807707995	NA	NA	100
SNP1; SNP2; SNP4; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP11; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP18; SNP20; SNP21; SNP23; SNP26; SNP27; SNP28	selectedExposure	selectedOutcome	0.00558370852111932	0.81212154794548	-0.0404589018415026	0.0516263188837413	0.121153528838221	0.0874614021607246	0.0990735444324296	0.162785088884965	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP8; SNP9; SNP10; SNP11; SNP13; SNP14; SNP15; SNP17; SNP18; SNP19; SNP20; SNP22; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29	selectedExposure	selectedOutcome	0.0213267730804023	0.260875819754685	-0.015850878887984	0.0585044250487886	0.114579050878343	0.0474311111097269	0.130684012809307	0.0235876029772251	NA	NA	300
SNP6; SNP7; SNP14; SNP16; SNP26; SNP27	selectedExposure	selectedOutcome	0.041470218276747	0.423480174832207	-0.060079414446313	0.143019850999807	0.194621848739496	0.175147769912218	0.106055440058432	0.463540997841013	NA	NA	50
SNP3; SNP5; SNP7; SNP8; SNP12; SNP14; SNP15; SNP16; SNP19; SNP22; SNP23; SNP26; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	-0.00493554141157184	0.85971605192763	-0.0596697416230961	0.0497986587999525	0.0433483348334833	0.667983773285124	0.054200542725843	0.592245386225437	NA	NA	100
SNP1; SNP2; SNP3; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP11; SNP13; SNP18; SNP19; SNP20; SNP21; SNP27; SNP29	selectedExposure	selectedOutcome	0.00978811305490085	0.596059949808261	-0.0264036522826723	0.045979878392474	0.143172579314483	0.0431969346543465	0.144014377597977	0.041898896033795	NA	NA	200
SNP1; SNP2; SNP3; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP11; SNP13; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP21; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29	selectedExposure	selectedOutcome	-0.00980447435008873	0.617418433857227	-0.0482748217248685	0.028665873024691	0.0187326525850287	0.746454605441985	-0.0101240863504102	0.861372930261461	NA	NA	300
SNP1; SNP7; SNP17; SNP19; SNP28	selectedExposure	selectedOutcome	0.0625152957157857	0.462881800810102	-0.104391238556951	0.229421829988522	0.0854261704681873	0.554195270395612	0.0844765813979977	0.559707926525986	NA	NA	50
SNP1; SNP2; SNP8; SNP9; SNP10; SNP14; SNP15; SNP17; SNP18; SNP21; SNP22; SNP23; SNP25; SNP30	selectedExposure	selectedOutcome	0.0165220926111466	0.52427297742041	-0.0343323357519201	0.0673765209742133	0.115091509150915	0.253726039253457	0.16083199377783	0.109926332020986	NA	NA	100
SNP1; SNP2; SNP3; SNP9; SNP11; SNP12; SNP13; SNP15; SNP16; SNP18; SNP19; SNP20; SNP21; SNP22; SNP23; SNP25; SNP27; SNP29; SNP30	selectedExposure	selectedOutcome	-0.0332746520562613	0.216588046002805	-0.086054183595473	0.0195048794829504	0.000844521113027826	0.99053033422243	-0.0417689509317964	0.557031795244525	NA	NA	200
SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP11; SNP12; SNP13; SNP14; SNP15; SNP17; SNP19; SNP20; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	-0.0295920309694048	0.251570837847006	-0.0801783156995625	0.020994253760753	0.00207113412371249	0.97148875729843	-0.0169530895695526	0.769956874152416	NA	NA	300
SNP1; SNP7; SNP8; SNP12; SNP13; SNP19; SNP20; SNP26; SNP29	selectedExposure	selectedOutcome	0.00188743002956385	0.957822155937405	-0.068060073661294	0.0718349337204217	0.15015606242497	0.296983629469485	0.164550301669728	0.253486613097049	NA	NA	50
SNP3; SNP5; SNP8; SNP9; SNP10; SNP11; SNP12; SNP19; SNP20; SNP21; SNP22; SNP23; SNP25; SNP27; SNP30	selectedExposure	selectedOutcome	-0.00105235236890579	0.961110144614048	-0.0433524080459936	0.041247703308182	0.0513531353135314	0.611309485095009	0.0379980374105283	0.707408603383061	NA	NA	100
SNP1; SNP2; SNP3; SNP5; SNP7; SNP8; SNP9; SNP10; SNP11; SNP12; SNP13; SNP15; SNP16; SNP17; SNP19; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	-0.0142053735004453	0.497001238276514	-0.0551968035624335	0.0267860565615428	0.043769594239856	0.537967603237704	0.0284684808925732	0.689036688726488	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP9; SNP12; SNP13; SNP14; SNP15; SNP16; SNP17; SNP18; SNP19; SNP20; SNP23; SNP24; SNP26; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.00851500738104941	0.720876953352093	-0.0381956406728146	0.0552256554349134	0.105516727963644	0.0680105413239153	0.146819306682528	0.010890861032164	NA	NA	300
SNP1; SNP6; SNP13; SNP20; SNP22; SNP24; SNP25	selectedExposure	selectedOutcome	0.0423565715998407	0.33256085995527	-0.0433194301893319	0.128032573389013	0.13719087635054	0.341011029423381	0.164745890059759	0.252914978779282	NA	NA	50
