IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP2; SNP3; SNP4; SNP6; SNP8; SNP9; SNP13; SNP16; SNP24; SNP26; SNP28	selectedExposure	selectedOutcome	0.0137115834570943	0.586446896092929	-0.0356902530898639	0.0631134200040526	0.112893157262905	0.433877902994654	0.201088346857329	0.161424790214686	NA	NA	50
SNP2; SNP3; SNP4; SNP5; SNP6; SNP12; SNP13; SNP14; SNP15; SNP16; SNP19; SNP24; SNP25; SNP28; SNP29	selectedExposure	selectedOutcome	0.044753809941231	0.0883451272595422	-0.00671681613151973	0.0962244360139818	0.205796579657966	0.0401280459942374	0.221224109278338	0.0269728579571037	NA	NA	100
SNP2; SNP4; SNP5; SNP6; SNP7; SNP8; SNP10; SNP11; SNP12; SNP13; SNP14; SNP18; SNP19; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP30	selectedExposure	selectedOutcome	-0.0122077512376896	0.476026409166234	-0.0457793538104679	0.0213638513350886	0.00801620040501013	0.910229430617669	0.00415680067525178	0.953415823229823	NA	NA	200
SNP2; SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP11; SNP15; SNP16; SNP17; SNP18; SNP19; SNP21; SNP22; SNP23; SNP24; SNP25; SNP26; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	0.0170031494682191	0.211783753968859	-0.00968557653889554	0.0436918754753338	0.112603917821309	0.0514043190642101	0.13000528133405	0.0243271817608092	NA	NA	300
SNP2; SNP4; SNP6; SNP11; SNP15; SNP16; SNP18; SNP19	selectedExposure	selectedOutcome	-0.00187260371870455	0.954837481224129	-0.0666798809901755	0.0629346735527664	0.00821128451380552	0.954961483030543	0.00852868776642096	0.953125249645039	NA	NA	50
SNP1; SNP3; SNP8; SNP10; SNP12; SNP14; SNP15; SNP16; SNP19; SNP20; SNP21; SNP22; SNP25; SNP27; SNP29	selectedExposure	selectedOutcome	-0.00596084191707014	0.768048427971161	-0.0455739404943766	0.0336522566602363	0.142298229822982	0.157638968617621	0.120715059244844	0.23155832532732	NA	NA	100
SNP3; SNP5; SNP6; SNP7; SNP9; SNP10; SNP11; SNP12; SNP13; SNP15; SNP16; SNP17; SNP19; SNP20; SNP21; SNP22; SNP23; SNP27; SNP28; SNP29; SNP30	selectedExposure	selectedOutcome	-0.0297599149514087	0.11258155554398	-0.0665208120826173	0.00700098217979994	0.101803045076127	0.151342411404162	0.0902308439918388	0.203852486593491	NA	NA	200
SNP1; SNP2; SNP3; SNP4; SNP5; SNP6; SNP7; SNP8; SNP9; SNP10; SNP12; SNP14; SNP15; SNP16; SNP19; SNP20; SNP22; SNP23; SNP26; SNP27; SNP28; SNP29	selectedExposure	selectedOutcome	-0.00367862677719316	0.850229856070269	-0.041861971662342	0.0345047181079557	0.0567077411971244	0.327435786462645	0.0482969539492856	0.404550350635414	NA	NA	300
SNP1; SNP3; SNP4; SNP6; SNP7; SNP13; SNP14; SNP19; SNP20; SNP22; SNP26; SNP30	selectedExposure	selectedOutcome	-0.0269032848068523	0.410343879797331	-0.0909506523837312	0.0371440827700266	0.0908043217286915	0.529443299146648	0.0900179987129757	0.534147012487849	NA	NA	50
SNP1; SNP2; SNP5; SNP6; SNP7; SNP9; SNP10; SNP16; SNP20; SNP22; SNP23; SNP26; SNP30	selectedExposure	selectedOutcome	-0.0224920173841109	0.447272641156128	-0.0804989861060011	0.0355149513377793	0.0607500750075008	0.54761999427175	0.0789220403668777	0.435086927964092	NA	NA	100
