IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP11	selectedExposure	selectedOutcome	0.617499740971173	0.113517802417357	-0.147250975525762	1.38225045746811	0.728883553421369	1.00613832900669e-08	0.743499616106991	6.212123705806e-10	NA	NA	50
SNP15	selectedExposure	selectedOutcome	0.678338496356842	0.0780052311902959	-0.0760501935186859	1.43272718623237	0.646986299847776	0	0.677060304353907	1.40926560528782e-41	NA	NA	300
SNP10	selectedExposure	selectedOutcome	1.03140752674644	0.000280859697458865	0.474873705798405	1.58794134769448	0.651668667466987	6.54710768497611e-07	0.701835402434975	1.35907959852433e-08	NA	NA	50
SNP8; SNP17	selectedExposure	selectedOutcome	0.748209718788741	0.00223471355884322	0.268522336182126	1.22789710139535	0.659239480987025	0	0.680820494991869	1.39195439941324e-28	NA	NA	200
SNP5	selectedExposure	selectedOutcome	0.79584230272893	0.0355754319525008	0.0536872535868399	1.53799735187102	0.740702017550439	0	0.739133838301952	7.95931131947503e-36	NA	NA	200
SNP40	selectedExposure	selectedOutcome	0.899488558804288	0.00419401634572264	0.28375351806796	1.51522359954061	0.581368547418968	1.40595101846501e-05	0.670850017498005	9.77975994943017e-08	NA	NA	50
SNP18	selectedExposure	selectedOutcome	1.06416691393393	0.00486504454333745	0.323453113468657	1.80488071439921	0.689716107956755	0	0.711394801978647	1.46370827616756e-47	NA	NA	300
SNP40	selectedExposure	selectedOutcome	0.978416979141064	0.00653120274283175	0.27335464263462	1.68347931564751	0.718703481392557	2.27955341893664e-08	0.713170359833384	6.19468140180274e-09	NA	NA	50
SNP30	selectedExposure	selectedOutcome	1.11314264129975	0.00203195631545182	0.406059709423634	1.82022557317586	0.754977874446861	0	0.745396720144645	1.01626865282047e-36	NA	NA	200
SNP6	selectedExposure	selectedOutcome	0.930498711564237	0.00165819875282504	0.350698672232301	1.51029875089617	0.71674396382182	0	0.732086702801128	1.30822101250518e-51	NA	NA	300
