IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP16	selectedExposure	selectedOutcome	0.383729033259079	0.094899465386397	-0.0666001827886364	0.834058249306794	0.408850221255531	2.59175237843543e-09	0.420310682277568	5.78336666409183e-10	NA	NA	200
SNP33	selectedExposure	selectedOutcome	-0.000170541671746927	0.999517185467148	-0.552551002299257	0.552209918955763	0.311431143114311	0.00168676034835738	0.381310902385883	9.07326908352015e-05	NA	NA	100
SNP25	selectedExposure	selectedOutcome	0.179889562551779	0.508860851445556	-0.353822809622875	0.713601934726432	0.312071023011367	3.98570935726545e-08	0.332198758552341	3.67545998716967e-09	NA	NA	300
SNP9	selectedExposure	selectedOutcome	0.242583886710874	0.405059240686135	-0.328451937730516	0.813619711152264	0.26728519205769	2.89439568577427e-06	0.252285950445631	9.72340971780141e-06	NA	NA	300
SNP10	selectedExposure	selectedOutcome	0.107675607370534	0.714332641493479	-0.468868797496636	0.684220012237705	0.180678067806781	0.0720983086752379	0.226830086577556	0.0232409688579948	NA	NA	100
SNP16	selectedExposure	selectedOutcome	0.371846417197772	0.184408150642335	-0.177240755862303	0.920933590257847	0.353357703974489	3.95432376666005e-10	0.376720672825777	1.49916665609107e-11	NA	NA	300
SNP17	selectedExposure	selectedOutcome	0.254827962720194	0.315876406542547	-0.243147783207499	0.752803708647888	0.249579239480987	0.000380006743041621	0.279540155726076	6.10472397685916e-05	NA	NA	200
SNP18	selectedExposure	selectedOutcome	0.03214431869519	0.900990611869531	-0.474259336307221	0.538547973697601	0.364108045644952	1.05810075525903e-10	0.378918179755277	1.11708598384728e-11	NA	NA	300
SNP28	selectedExposure	selectedOutcome	0.935911853684986	0.00806517371188212	0.243527700954241	1.62829600641573	0.653205282112845	6.09876704940403e-07	0.633712864519286	7.81582050291346e-07	NA	NA	50
SNP18	selectedExposure	selectedOutcome	0.524486132366193	0.0470607004320341	0.00681164467987916	1.04216062005251	0.193783378337834	0.0535078450428757	0.201200582342608	0.04471911748229	NA	NA	100
SNP4	selectedExposure	selectedOutcome	0.0738191660023401	0.806801479090271	-0.517799342873233	0.665437674877913	0.107418967587035	0.456609902242842	0.116146231935272	0.421842263533213	NA	NA	50
SNP26	selectedExposure	selectedOutcome	0.329989882089489	0.154381205603111	-0.124129415978366	0.784109180157345	0.38466116290181	7.16829390392328e-12	0.396180767403693	1.02460766158892e-12	NA	NA	300
SNP1	selectedExposure	selectedOutcome	0.285588336892349	0.254880577629956	-0.206028809616354	0.777205483401052	0.287662191554789	3.9063951036411e-05	0.296497030209978	2.01633990262848e-05	NA	NA	200
SNP1	selectedExposure	selectedOutcome	-0.0234465215905252	0.944869513003055	-0.687998162198018	0.641105119016968	0.128835534213685	0.371438192523481	0.155914867950467	0.27959541720378	NA	NA	50
SNP8	selectedExposure	selectedOutcome	0.342992380768723	0.236071056875202	-0.224374401180837	0.910359162718284	0.352028355870621	4.63748075198891e-10	0.37863335914277	1.16064720939917e-11	NA	NA	300
