IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP11	selectedExposure	selectedOutcome	0.617499740971173	0.113517802417357	-0.147250975525762	1.38225045746811	0.728883553421369	1.00613832900669e-08	0.743499616106991	6.212123705806e-10	NA	NA	50
SNP7; SNP9; SNP30	selectedExposure	selectedOutcome	0.74304830774798	0.0572728433304627	-0.0229576361197609	1.50905425161572	0.702718271827183	0	0.733480535416082	4.01719933063811e-18	NA	NA	100
SNP8; SNP17; SNP20; SNP26	selectedExposure	selectedOutcome	0.934014300283575	0.00116220413125015	0.370394852598431	1.49763374796872	0.672970824270607	0	0.693205238305565	5.62441337253193e-30	NA	NA	200
SNP7; SNP10; SNP13; SNP14; SNP23; SNP29	selectedExposure	selectedOutcome	0.779885143205554	0.000416535959973855	0.346792878299065	1.21297740811204	0.727754752830587	0	0.739624276096019	3.52048424620953e-53	NA	NA	300
SNP1	selectedExposure	selectedOutcome	0.570490997915767	0.1666186883323	-0.237911063604535	1.37889305943607	0.582905162064826	1.32145995859718e-05	0.611200792472791	2.42285348073974e-06	NA	NA	50
SNP18	selectedExposure	selectedOutcome	1.12878069628212	0.0153292684374703	0.216277142314749	2.0412842502495	0.644164416441644	0	0.615091368076124	9.85353824386387e-12	NA	NA	100
SNP5; SNP30	selectedExposure	selectedOutcome	0.968982322010439	0.00159947695689293	0.367217691282367	1.57074695273851	0.745370134253356	0	0.76823691552262	3.25054107488689e-40	NA	NA	200
SNP2; SNP11; SNP15; SNP22	selectedExposure	selectedOutcome	0.824410876256137	0.00102350765452244	0.33238178291671	1.31643996959556	0.646986299847776	0	0.677060304353907	1.40926560528782e-41	NA	NA	300
SNP6; SNP10; SNP26	selectedExposure	selectedOutcome	0.740809971392103	0.00173160465029884	0.277336036468662	1.20428390631555	0.651668667466987	6.54710768497611e-07	0.701835402434975	1.35907959852433e-08	NA	NA	50
SNP10; SNP16; SNP23; SNP26	selectedExposure	selectedOutcome	0.727066121085105	0.0137477068939247	0.148679135704553	1.30545310646566	0.66017401740174	0	0.68068226172394	6.65432019466217e-15	NA	NA	100
SNP1; SNP8; SNP10; SNP17; SNP20; SNP25	selectedExposure	selectedOutcome	0.872695177046077	1.09254627153815e-06	0.521775255486989	1.22361509860516	0.659239480987025	0	0.680820494991869	1.39195439941324e-28	NA	NA	200
SNP3; SNP13; SNP14; SNP22	selectedExposure	selectedOutcome	0.671318395948674	0.0304038679295016	0.06351780219739	1.27911898969996	0.680795119945777	0	0.70362446912748	3.93439923578788e-46	NA	NA	300
SNP15; SNP28; SNP30	selectedExposure	selectedOutcome	0.70742204627903	0.0304122388441667	0.0669014800061009	1.34794261255196	0.619303721488595	2.83225340867823e-06	0.679944402219291	5.61667656993797e-08	NA	NA	50
SNP1; SNP11; SNP14	selectedExposure	selectedOutcome	0.795372457317629	0.0189018093605522	0.131292920110855	1.4594519945244	0.747608190204755	0	0.74961913172545	2.45167536196634e-37	NA	NA	200
SNP3; SNP14; SNP29	selectedExposure	selectedOutcome	0.989757110922699	0.00365449430414098	0.322335411119042	1.65717881072636	0.717836420404671	0	0.739574941365834	3.60624823989042e-53	NA	NA	300
SNP9; SNP13	selectedExposure	selectedOutcome	0.514143444889927	0.176149504060231	-0.23080961547994	1.25909650525979	0.700606060606061	0	0.720355182908059	2.96997835125108e-17	NA	NA	100
SNP30	selectedExposure	selectedOutcome	0.152445521691868	0.820046521433087	-1.16099292792573	1.46588397130947	0.705572639315983	0	0.715431641690729	1.15847403251648e-32	NA	NA	200
SNP3; SNP8; SNP15; SNP25	selectedExposure	selectedOutcome	1.20008184680766	2.98062037212294e-05	0.636692649635413	1.7634710439799	0.681297792197691	0	0.704652442811934	2.56124960731916e-46	NA	NA	300
SNP18; SNP25	selectedExposure	selectedOutcome	1.19143637721894	0.00678115552983296	0.328923112390209	2.05394964204766	0.765858343337335	0	0.76429366182603	1.05784640981402e-10	NA	NA	50
