IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP14; SNP21; SNP29	selectedExposure	selectedOutcome	0.681007217014383	0.0211453696670658	0.102035276131771	1.25997915789699	0.403025210084034	0.00395859183309057	0.472458275272217	0.000531567175927148	NA	NA	50
SNP8; SNP9	selectedExposure	selectedOutcome	0.201244157225359	0.498196095141278	-0.38108769897728	0.783576013427998	0.192139213921392	0.05559718665292	0.198366813222668	0.0478795665681612	NA	NA	100
SNP14	selectedExposure	selectedOutcome	0.687613624197783	0.0735807185673555	-0.0656219454275776	1.44084919382314	0.4768787515006	0.000537356045306602	0.491207692359443	0.000292155325543078	NA	NA	50
SNP3; SNP16	selectedExposure	selectedOutcome	0.183419948481826	0.587161129061689	-0.478691686756977	0.845531583720629	0.382430243024302	9.7242438257353e-05	0.421175797420745	1.27949803360868e-05	NA	NA	100
SNP12; SNP29; SNP30	selectedExposure	selectedOutcome	0.415741243782237	0.0604009706856184	-0.0181781800341313	0.849660667598606	0.360325508137704	1.95599127477065e-07	0.372340269062942	5.66181197019392e-08	NA	NA	200
SNP3; SNP6; SNP22	selectedExposure	selectedOutcome	-0.00129846494876869	0.994910673393639	-0.40028213021185	0.397685200314313	0.28843209368993	4.18175501487293e-07	0.311729702095484	3.4917861916886e-08	NA	NA	300
SNP2; SNP14	selectedExposure	selectedOutcome	0.0932522968876941	0.800876255716126	-0.631416850671958	0.817921444447347	0.48062424969988	0.000480055448119503	0.484067119468243	0.000368442908646706	NA	NA	50
SNP3; SNP28	selectedExposure	selectedOutcome	0.370326404936781	0.211667368436727	-0.210802547773822	0.951455357647384	0.24997299729973	0.0123145749720658	0.27216462636022	0.0061562272759267	NA	NA	100
SNP3; SNP29	selectedExposure	selectedOutcome	0.489264440085536	0.0846960222724924	-0.0669445267113069	1.04547340688238	0.355717392934823	2.84799686594157e-07	0.368949548323088	7.62001470940631e-08	NA	NA	200
SNP3; SNP6; SNP14; SNP30	selectedExposure	selectedOutcome	0.313532304826661	0.103471599276607	-0.0638738143999865	0.690938424053309	0.317107523416927	2.35241128262599e-08	0.338675387250401	1.74001195380678e-09	NA	NA	300
SNP13; SNP22; SNP30	selectedExposure	selectedOutcome	0.0971141860669381	0.687326130449866	-0.37579702204736	0.570025394181236	0.319327932793279	0.0012665309892697	0.405474971371171	2.85162794419542e-05	NA	NA	100
SNP11; SNP16; SNP30	selectedExposure	selectedOutcome	0.234681309602138	0.178812919114993	-0.1074493057532	0.576811924957476	0.408850221255531	2.59175237843543e-09	0.420310682277568	5.78336666409183e-10	NA	NA	200
SNP10; SNP14; SNP25	selectedExposure	selectedOutcome	0.150623964768649	0.502360744953478	-0.289486926985328	0.590734856522627	0.324232491472127	1.09770704536763e-08	0.346834864572567	6.61603165714065e-10	NA	NA	300
SNP1	selectedExposure	selectedOutcome	0.338855852943902	0.475468760551808	-0.591828767490454	1.26954047337826	0.297671068427371	0.0361773808346603	0.334393126348014	0.0176211998425623	NA	NA	50
