IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP32	selectedExposure	selectedOutcome	0.330629554611811	0.229603785437822	-0.208768434699507	0.87002754392313	0.322833133253301	0.0226460677082478	0.324612468072394	0.0214497942307888	NA	NA	50
SNP7	selectedExposure	selectedOutcome	0.362657597419706	0.278233854750243	-0.292879487073633	1.01819468191304	0.20660674007489	0.000323985589005684	0.201470074182979	0.000446313149970154	NA	NA	300
SNP35	selectedExposure	selectedOutcome	-0.0891712967185821	0.754798719797093	-0.648768968006268	0.470426374569104	0.220930093009301	0.0273723482410776	0.241618857872709	0.0154434678808414	NA	NA	100
SNP8	selectedExposure	selectedOutcome	0.341899184679217	0.192771452131711	-0.172610715567319	0.856409084925754	0.232374137490417	5.0600501118292e-05	0.223417941805318	9.50056806803461e-05	NA	NA	300
SNP15; SNP35	selectedExposure	selectedOutcome	0.618745819649424	0.00727190126153463	0.166934650539141	1.07055698875971	0.285570228091236	0.0447634189739966	0.287595985389776	0.0428486295736245	NA	NA	50
SNP34	selectedExposure	selectedOutcome	0.490991098550816	0.0594450240446635	-0.0195565360374677	1.0015387331391	0.366529663241581	1.16884826207885e-07	0.392282605638886	9.19851736473944e-09	NA	NA	200
SNP35	selectedExposure	selectedOutcome	0.0305881768052423	0.920650393863095	-0.571249247184292	0.632425600794777	0.341646907187858	1.56843874844234e-09	0.369032404203068	4.12435178579551e-11	NA	NA	300
SNP43	selectedExposure	selectedOutcome	0.464303002082516	0.126242043350239	-0.130833284347944	1.05943928851297	0.278609465236631	6.9113042470994e-05	0.307315487412419	9.57980855573246e-06	NA	NA	200
SNP10; SNP15	selectedExposure	selectedOutcome	-0.096960552987029	0.633250766728705	-0.495234993146459	0.301313887172401	0.290006333403704	3.59823162702274e-07	0.319698142994904	1.48281778036687e-08	NA	NA	300
SNP8	selectedExposure	selectedOutcome	0.209507292116313	0.501962566448004	-0.402085938059393	0.821100522292019	0.26292807320183	0.000177651280792711	0.277761174093913	6.82922949492421e-05	NA	NA	200
SNP9	selectedExposure	selectedOutcome	0.70814069827199	0.00913169878204496	0.175771841272811	1.24050955527117	0.270829675885288	2.11557729136114e-06	0.278726119519989	9.33934745692578e-07	NA	NA	300
SNP10; SNP16	selectedExposure	selectedOutcome	0.639741225471968	0.00176905734842575	0.238694288669136	1.0407881622748	0.321747130523672	1.43518035450532e-08	0.341453930437694	1.25576487228574e-09	NA	NA	300
SNP27	selectedExposure	selectedOutcome	0.574194723822866	0.0378384352021322	0.0322508539185667	1.11613859372717	0.350545263631591	4.31289319722657e-07	0.352129581301309	3.16452878596591e-07	NA	NA	200
SNP30	selectedExposure	selectedOutcome	1.08567293820538	0.00123425606878971	0.427058547873409	1.74428732853736	0.424650465046505	1.29540678365164e-05	0.473842356396012	6.3747067940986e-07	NA	NA	100
SNP20	selectedExposure	selectedOutcome	0.466201622469479	0.0879482876175532	-0.0693003533311463	1.0017035982701	0.314532363309083	6.41331871309303e-06	0.36362948228549	1.2061208210653e-07	NA	NA	200
SNP4	selectedExposure	selectedOutcome	-0.17904346612571	0.52815938237507	-0.735334848841822	0.377247916590402	0.34237224858054	1.44254640832287e-09	0.318222563197797	1.7409712563966e-08	NA	NA	300
SNP9; SNP11	selectedExposure	selectedOutcome	0.0924395647317935	0.635997904694655	-0.290356849479025	0.475235978942612	0.18295447727197	0.00148312756356307	0.220349382036147	0.00011907050021793	NA	NA	300
SNP17	selectedExposure	selectedOutcome	0.0700138989320035	0.806254226741309	-0.489490601675248	0.629518399539255	0.380674007488972	1.23399605817749e-11	0.415702609303039	5.78497220236028e-14	NA	NA	300
SNP28	selectedExposure	selectedOutcome	1.0523272548396	0.000803429891888219	0.436944422280351	1.66771008739885	0.426650660264106	0.00218485685594938	0.429812488515907	0.00183868127503654	NA	NA	50
SNP18; SNP26; SNP37	selectedExposure	selectedOutcome	0.437096496379355	0.0197222544933375	0.0696677118741071	0.804525280884603	0.333837383738374	0.000733714793986212	0.349460420629819	0.000365639095341534	NA	NA	100
SNP4	selectedExposure	selectedOutcome	0.484795251082506	0.0682458546547819	-0.0363145685370604	1.00590507070207	0.364354270603007	1.02596752695934e-10	0.403066283384973	3.79806865907854e-13	NA	NA	300
SNP7	selectedExposure	selectedOutcome	0.674796648046071	0.00971393281229677	0.163329482392198	1.18626381369994	0.335185502061134	3.27399673717695e-09	0.348169828373997	5.63284393160859e-10	NA	NA	300
SNP27; SNP32	selectedExposure	selectedOutcome	0.247197468225437	0.282686411044911	-0.203790420408754	0.698185356859628	0.403654091352284	4.26434129716966e-09	0.393007844053133	8.59036910339406e-09	NA	NA	200
SNP19	selectedExposure	selectedOutcome	0.301027969267586	0.280047332450567	-0.245164279841738	0.847220218376911	0.321460016222402	1.48009552460472e-08	0.322042055856895	1.14706698809106e-08	NA	NA	300
SNP1	selectedExposure	selectedOutcome	0.71913623467999	0.00758382618048363	0.191252049636991	1.24702041972299	0.374310357758944	6.03739901641716e-08	0.373614413444979	5.05937277322697e-08	NA	NA	200
SNP29; SNP39	selectedExposure	selectedOutcome	0.411944345707558	0.0144119230407818	0.0819678297511977	0.741920861663918	0.400252002800031	7.40558783227049e-13	0.385559681625763	4.52983255409297e-12	NA	NA	300
SNP20	selectedExposure	selectedOutcome	-0.081809321109778	0.764246954830534	-0.616450139809264	0.452831497589708	0.335219280214225	3.26156720586425e-09	0.342719964633789	1.08119338260415e-09	NA	NA	300
SNP17	selectedExposure	selectedOutcome	0.236140213082022	0.39915699393621	-0.312799501691919	0.785079927855963	0.269342233555839	0.000121556151202855	0.248396111400968	0.000390264502094426	NA	NA	200
SNP1; SNP25	selectedExposure	selectedOutcome	-0.436143766544108	0.0634529674754001	-0.896717131938608	0.0244295988503928	0.186600165004125	0.00823181364410406	0.172415613232848	0.0146323601232686	NA	NA	200
SNP28	selectedExposure	selectedOutcome	0.938680000001281	0.000844114379096279	0.387502876585202	1.48985712341736	0.234324825831398	4.35853334924161e-05	0.269335537902914	2.20889173496971e-06	NA	NA	300
SNP26; SNP32	selectedExposure	selectedOutcome	0.510580520770838	0.0206703453285739	0.0781085621158397	0.943052479425836	0.390639063906391	6.70211861915044e-05	0.415894129936353	1.68294345204512e-05	NA	NA	100
SNP6	selectedExposure	selectedOutcome	0.491543447643078	0.107222191449691	-0.106547162820455	1.08963405810661	0.318138645984955	2.10922613424435e-08	0.348301609732451	5.54386504804221e-10	NA	NA	300
SNP2; SNP15	selectedExposure	selectedOutcome	0.18732703042932	0.444767610125118	-0.293136188768894	0.667790249627533	0.258083756486183	6.40112624039072e-06	0.252224370251743	9.77377960688587e-06	NA	NA	300
SNP26	selectedExposure	selectedOutcome	0.32182918283043	0.306740301418173	-0.295314327074784	0.938972692735644	0.310252100840336	0.0287491691968406	0.362188905742944	0.00974648262882967	NA	NA	50
SNP42	selectedExposure	selectedOutcome	0.289066569247926	0.355232946976241	-0.323770840166911	0.901903978662763	0.148523409363746	0.302313641895312	0.152563842861324	0.290187328307231	NA	NA	50
SNP8	selectedExposure	selectedOutcome	0.618834915520906	0.017944310112099	0.10636578000659	1.13130405103522	0.42263847376082	5.19823287276282e-15	0.434819134825635	2.8764901452528e-15	NA	NA	300
SNP26	selectedExposure	selectedOutcome	0.882329301081032	0.00398470583188463	0.281734840053488	1.48292376210858	0.418757875787579	1.74302837517884e-05	0.397206094511536	4.28062514274626e-05	NA	NA	100
SNP25	selectedExposure	selectedOutcome	0.231413235770781	0.370657088488993	-0.275221833202076	0.738048304743637	0.3231212484994	0.0225202914990527	0.357312519127648	0.0108534024499619	NA	NA	50
SNP25	selectedExposure	selectedOutcome	-0.0139673226946777	0.964530526515107	-0.629574196783064	0.601639551393709	0.284824498049978	5.88160739810258e-07	0.293064066553215	2.3565612357028e-07	NA	NA	300
SNP19	selectedExposure	selectedOutcome	-0.162211081165071	0.610275088261768	-0.785989455575543	0.4615672932454	0.287033675841896	4.06672828455763e-05	0.343294718749751	6.47235851517e-07	NA	NA	200
SNP15	selectedExposure	selectedOutcome	0.424447300702703	0.173592355034255	-0.186907276283558	1.03580187768896	0.428091236494598	0.00210437298265143	0.472885526466588	0.000524564186281805	NA	NA	50
SNP28	selectedExposure	selectedOutcome	0.325727272309565	0.285915401820128	-0.27252853912014	0.92398308373927	0.288769430771453	4.04952809344275e-07	0.30619546401444	6.23735466592726e-08	NA	NA	300
SNP41	selectedExposure	selectedOutcome	0.142401848595971	0.626301158901074	-0.430775017853436	0.715578715045377	0.284533113327833	4.76817104900282e-05	0.275299222856368	7.96581317537517e-05	NA	NA	200
SNP25	selectedExposure	selectedOutcome	0.154896687875541	0.617705677813512	-0.453376433429604	0.763169809180686	0.2074809720108	0.000305256571943838	0.240459530590908	2.56028576477296e-05	NA	NA	300
SNP7	selectedExposure	selectedOutcome	0.269910760704575	0.330388293441713	-0.273598892187071	0.813420413596221	0.298695318836876	1.54498710685709e-07	0.306769349226936	5.87644253287261e-08	NA	NA	300
SNP5	selectedExposure	selectedOutcome	-0.048602847946797	0.862572600869271	-0.598918703724709	0.501713007831115	0.267034078156424	2.95890616180192e-06	0.317496172676971	1.88350473430152e-08	NA	NA	300
SNP23	selectedExposure	selectedOutcome	0.295122140852448	0.242657179226359	-0.199950747982824	0.790195029687721	0.366144614461446	0.000198075571654379	0.454971889612463	1.97846539176317e-06	NA	NA	100
SNP8; SNP13	selectedExposure	selectedOutcome	0.0332389815704843	0.878366245473204	-0.392446750701926	0.458924713842894	0.252645316132903	0.000320221828315782	0.256319394636157	0.000248716657483983	NA	NA	200
SNP4; SNP14; SNP28	selectedExposure	selectedOutcome	0.321491572597309	0.0758156622540058	-0.0334014388934796	0.676384584088098	0.211187235413727	0.000236522967996521	0.26080248358205	4.69795537981168e-06	NA	NA	300
SNP12	selectedExposure	selectedOutcome	-0.210121023278148	0.404573995580469	-0.704229544554075	0.28398749799778	0.16123153078827	0.0226525590301367	0.1671366425396	0.0180049123179755	NA	NA	200
SNP2	selectedExposure	selectedOutcome	0.147544630185144	0.640868122604856	-0.472372273056371	0.767461533426659	0.23438175270108	0.101348739179932	0.134627374554307	0.35126704324654	NA	NA	50
SNP29	selectedExposure	selectedOutcome	0.0138053467013247	0.965653300294762	-0.614565838732461	0.64217653213511	0.234206602295581	4.39828963110896e-05	0.265849625802363	3.01597283521318e-06	NA	NA	300
SNP24; SNP28	selectedExposure	selectedOutcome	0.796336028299946	0.00105754305914453	0.31972303747902	1.27294901912087	0.290779675329726	3.34107019566614e-07	0.297910401339061	1.45398307557443e-07	NA	NA	300
