IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP23	selectedExposure	selectedOutcome	0.868113507914313	0.0202940455091812	0.134994585277214	1.60123243055141	0.582232893157263	1.357824055146e-05	0.60101719721315	3.92951999719172e-06	NA	NA	50
SNP39	selectedExposure	selectedOutcome	0.872206715046775	0.0354607163363612	0.0593456799946545	1.6850677500989	0.762628262826283	0	0.767447250048733	1.24945010471875e-20	NA	NA	100
SNP9	selectedExposure	selectedOutcome	1.03520784114775	0.00527744409480966	0.307872151678011	1.76254353061749	0.613732843321083	0	0.662190900591084	1.3037975463426e-26	NA	NA	200
SNP3	selectedExposure	selectedOutcome	1.07948110557667	0.00541516979075129	0.318761377662967	1.84020083349037	0.692783253147257	0	0.685669146130978	5.32696128157817e-43	NA	NA	300
SNP7	selectedExposure	selectedOutcome	1.1695218821294	0.00182144770680215	0.434340837613455	1.90470292664534	0.690585058505851	0	0.716583888687182	5.16793847643377e-17	NA	NA	100
SNP22	selectedExposure	selectedOutcome	1.59169413502454	4.53852986818356e-05	0.826733726179794	2.35665454386928	0.66982374559364	0	0.701643797491246	5.74777502517841e-31	NA	NA	200
SNP8	selectedExposure	selectedOutcome	0.884777647684891	0.0259994748621824	0.105819312387539	1.66373598298224	0.737305730573057	0	0.742915463468577	8.85284586798197e-19	NA	NA	100
SNP6	selectedExposure	selectedOutcome	1.56797468149537	0.000101185790710235	0.777494546772007	2.35845481621873	0.679324881387571	0	0.70692944958272	9.83171225359805e-47	NA	NA	300
SNP20	selectedExposure	selectedOutcome	0.866864107256126	0.00766952659145494	0.229638842914977	1.50408937159728	0.662786919854665	0	0.706059802846149	1.41877423393353e-46	NA	NA	300
SNP8	selectedExposure	selectedOutcome	0.901150379282791	0.0259360979682977	0.108115061720512	1.69418569684507	0.652097023300259	0	0.714592286435357	3.65924937367003e-48	NA	NA	300
SNP15	selectedExposure	selectedOutcome	1.04766739044757	0.00553443898819237	0.307482943231334	1.7878518376638	0.669521661351793	0	0.692587076708491	3.52480258873588e-44	NA	NA	300
SNP23	selectedExposure	selectedOutcome	0.755468968533391	0.0644842213150882	-0.0454171421006935	1.55635507916748	0.659750993774844	0	0.692275828154829	7.19606011470127e-30	NA	NA	200
SNP7	selectedExposure	selectedOutcome	0.780863701057099	0.0597558477214542	-0.0320929714537699	1.59382037356797	0.651236124845832	0	0.66574816347515	8.83377258654086e-40	NA	NA	300
SNP50	selectedExposure	selectedOutcome	0.599235848356837	0.0756179403864697	-0.0618110354458985	1.26028273215957	0.761968196819682	0	0.78828782471316	2.17223097536764e-22	NA	NA	100
SNP30	selectedExposure	selectedOutcome	1.07845992449208	0.00261368541266023	0.37618708002533	1.78073276895884	0.735919287992089	0	0.744702677610616	2.86889749710361e-54	NA	NA	300
SNP10	selectedExposure	selectedOutcome	0.895924044795112	0.0178588461450761	0.154545407899663	1.63730268169056	0.718448961224031	0	0.721946886461661	1.68727215430883e-33	NA	NA	200
SNP29	selectedExposure	selectedOutcome	0.680006892236297	0.0745080361113928	-0.0672895514055724	1.42730333587817	0.638991596638655	1.17093496175777e-06	0.740902299690133	7.65828015540964e-10	NA	NA	50
SNP10	selectedExposure	selectedOutcome	0.611170020888097	0.117627200785232	-0.154335288260654	1.37667533003685	0.701021525538139	0	0.717548937142491	6.23111672832426e-33	NA	NA	200
SNP9	selectedExposure	selectedOutcome	1.27859010755293	0.00110478667104571	0.510443512499001	2.04673670260687	0.746310657766444	0	0.742157225221718	2.96892138733542e-36	NA	NA	200
SNP2	selectedExposure	selectedOutcome	0.619549027270707	0.0767976510326013	-0.0666566895392711	1.30575474408069	0.689915247881197	0	0.722995573346414	1.23105910844036e-33	NA	NA	200
SNP19	selectedExposure	selectedOutcome	-0.17915826772671	0.651566705346941	-0.956735863996101	0.598419328542682	0.671968799219981	0	0.676616595377035	3.99189238403024e-28	NA	NA	200
SNP36	selectedExposure	selectedOutcome	0.9022039142231	0.0166874773619285	0.163423519798507	1.64098430864769	0.622472989195678	2.46182302814881e-06	0.64017416215091	5.55380206874378e-07	NA	NA	50
SNP9	selectedExposure	selectedOutcome	0.730712229237398	0.0216340054728783	0.107144034859496	1.3542804236153	0.629480772008578	0	0.675801919790768	2.25360566499907e-41	NA	NA	300
SNP35	selectedExposure	selectedOutcome	1.10447449113441	0.00578925825874015	0.320005508038806	1.88894347423001	0.697620940523513	0	0.708145834225349	9.37987386749214e-32	NA	NA	200
SNP33	selectedExposure	selectedOutcome	0.902279469606366	0.00952739197693562	0.220151260588108	1.58440767862462	0.703278036422627	0	0.703019187484795	5.06142984097645e-46	NA	NA	300
SNP24	selectedExposure	selectedOutcome	0.249178444011812	0.455609620041078	-0.405403522428655	0.903760410452279	0.636178624206936	0	0.662572222596256	2.73303349961373e-39	NA	NA	300
SNP32	selectedExposure	selectedOutcome	0.676275945022035	0.0744673202304083	-0.0668160311863077	1.41936792123038	0.645290632265807	0	0.680449044886875	1.52883824283902e-28	NA	NA	200
SNP25	selectedExposure	selectedOutcome	0.764836179047028	0.0171408048375856	0.135953323478584	1.39371903461547	0.66148803720093	0	0.6632156468359	1.02430100978196e-26	NA	NA	200
SNP12	selectedExposure	selectedOutcome	1.13373199123383	0.0042711945294563	0.356077691673718	1.91138629079395	0.694016600184446	0	0.690586104296159	7.79229326619854e-44	NA	NA	300
SNP11	selectedExposure	selectedOutcome	0.216726832935776	0.544247171187535	-0.483759116315481	0.917212782187034	0.622122553063827	0	0.666598667414182	4.58730757188803e-27	NA	NA	200
SNP32	selectedExposure	selectedOutcome	1.07909354851792	0.00230220056681374	0.385245515300537	1.7729415817353	0.800432172869148	0	0.793288429120547	6.47150222041073e-12	NA	NA	50
SNP5	selectedExposure	selectedOutcome	0.940606509012153	0.0306788204040294	0.0875882659794271	1.79362475204488	0.522689075630252	0.000124174158915216	0.560837506340664	2.27269882646515e-05	NA	NA	50
SNP19	selectedExposure	selectedOutcome	0.0525596524706446	0.895851197351439	-0.734390884857858	0.839510189799147	0.742356558913973	0	0.742715450485495	2.47097104800233e-36	NA	NA	200
SNP14	selectedExposure	selectedOutcome	0.889677962945303	0.0227544392353192	0.124052586980278	1.65530333891033	0.63433585839646	0	0.662507065525805	1.21039063048072e-26	NA	NA	200
SNP28	selectedExposure	selectedOutcome	0.721661943406549	0.0733052204174567	-0.0681147768138013	1.5114386636269	0.685376537653765	0	0.698496001949993	6.53327297317326e-16	NA	NA	100
SNP20	selectedExposure	selectedOutcome	1.02328799299683	0.00416960940486646	0.323259394575306	1.72331659141835	0.678939988222091	0	0.693267312117074	2.68762303962118e-44	NA	NA	300
SNP10	selectedExposure	selectedOutcome	1.16112053274716	0.00256993484358496	0.406305573684371	1.91593549180994	0.790747074707471	0	0.773674066235024	3.89577156579782e-21	NA	NA	100
SNP4	selectedExposure	selectedOutcome	0.483387297035966	0.202445877202693	-0.25991353402372	1.22668812809565	0.722565064126603	0	0.748609389528527	3.45351047216638e-37	NA	NA	200
SNP26	selectedExposure	selectedOutcome	1.38396754118814	0.000196185543499044	0.655553147635337	2.11238193474095	0.708004755608396	0	0.716265464684323	1.75805715979065e-48	NA	NA	300
