IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP5	selectedExposure	selectedOutcome	0.782691277829846	0.0131622175953484	0.163961821193686	1.40142073446601	0.267074707470747	0.00738391445529674	0.274236131692458	0.0057620115308782	NA	NA	100
SNP7	selectedExposure	selectedOutcome	0.124788768700302	0.640428317656837	-0.398828187468892	0.648405724869495	0.346037622640252	9.42020311956559e-10	0.338531622578059	1.76946905556386e-09	NA	NA	300
SNP22	selectedExposure	selectedOutcome	0.508240324179951	0.0710109812271971	-0.0435092847035353	1.05998993306344	0.382635565889147	2.92192873498042e-08	0.384640846184603	1.87239884753107e-08	NA	NA	200
SNP8	selectedExposure	selectedOutcome	0.651910583760831	0.0204751887418131	0.100580326863946	1.20324084065772	0.392364945978391	0.00511094422536091	0.408729418696302	0.0032091766832611	NA	NA	50
SNP49	selectedExposure	selectedOutcome	0.205861164835447	0.491261152787222	-0.380333703815868	0.792056033486762	0.406375159378985	3.28940686635736e-09	0.41252241312931	1.28018973896634e-09	NA	NA	200
SNP1	selectedExposure	selectedOutcome	-0.198586338367369	0.542545521697279	-0.837736421014165	0.440563744279426	0.367199191102123	7.16837895287467e-11	0.384947260299153	4.92720876042415e-12	NA	NA	300
SNP13	selectedExposure	selectedOutcome	0.247262428768103	0.341766888427727	-0.262504790286325	0.757029647822531	0.473512816809076	0	0.466156026559214	1.36916089942353e-17	NA	NA	300
SNP13	selectedExposure	selectedOutcome	0.320162582875774	0.229545821146309	-0.202094311672012	0.842419477423561	0.28942499361104	3.80396489095073e-07	0.344553009775165	8.69493750897025e-10	NA	NA	300
SNP23	selectedExposure	selectedOutcome	0.605691949384873	0.0694279858701256	-0.048151605444954	1.2595355042147	0.358394959873997	2.29101106928651e-07	0.354495880881613	2.60288371667352e-07	NA	NA	200
SNP8	selectedExposure	selectedOutcome	-0.00690697732831709	0.977089778891909	-0.478304408560905	0.464490453904271	0.357347970533006	2.43934307978439e-10	0.333932335510715	3.01384990757162e-09	NA	NA	300
SNP14	selectedExposure	selectedOutcome	0.289676449904848	0.325037861098596	-0.28721815653268	0.866571056342376	0.38710417760444	1.96290122909143e-08	0.420247810414093	5.82105917492777e-10	NA	NA	200
SNP44	selectedExposure	selectedOutcome	0.388482884481139	0.128337199636683	-0.112218484834818	0.889184253797096	0.119519807923169	0.407235053197907	0.150400135104832	0.297163490407788	NA	NA	50
SNP47	selectedExposure	selectedOutcome	0.629482730954068	0.0300183227637578	0.0608884414953297	1.19807702041281	0.162220222022202	0.106792535590753	0.170955822309377	0.0890165564732837	NA	NA	100
SNP41	selectedExposure	selectedOutcome	-0.0190018804111802	0.949389541769861	-0.605751642787104	0.567747881964744	0.301809575661952	1.13359022952677e-07	0.294775041945687	1.98920822761244e-07	NA	NA	300
SNP8	selectedExposure	selectedOutcome	0.294957282803399	0.278792723584349	-0.238825515952242	0.82874008155904	0.350672785253169	5.45144432226051e-10	0.346808737491325	6.63684606542245e-10	NA	NA	300
SNP10	selectedExposure	selectedOutcome	0.483095009927861	0.101858945125762	-0.095696157892729	1.06188617774845	0.29344537815126	0.0390050914448479	0.280854433576489	0.0481915818310704	NA	NA	50
SNP1	selectedExposure	selectedOutcome	0.234146731826295	0.341327931733516	-0.248141861707748	0.716435325360339	0.423846384638464	1.34935940313729e-05	0.407495199501233	2.57797506267793e-05	NA	NA	100
SNP39	selectedExposure	selectedOutcome	0.0983538439088829	0.71897277430987	-0.437368365177234	0.634076052995	0.264866486648665	0.00790192069833733	0.294954938378883	0.00289152295320904	NA	NA	100
SNP11	selectedExposure	selectedOutcome	0.320666399204491	0.258309950866464	-0.235329306895	0.876662105303983	0.306480294225491	7.07800814300332e-08	0.291534090880253	2.73958427051136e-07	NA	NA	300
SNP32	selectedExposure	selectedOutcome	0.157584845898902	0.666793474874239	-0.559773237379835	0.874942929177639	0.355871587158716	0.000304735884467388	0.343856280340708	0.000460433143723174	NA	NA	100
SNP17	selectedExposure	selectedOutcome	0.0285677722630342	0.910849924627436	-0.471508384441778	0.528643928967846	0.30199954998875	1.52183755580149e-05	0.343372200227856	6.43248014622139e-07	NA	NA	200
SNP14	selectedExposure	selectedOutcome	-0.0136675050629959	0.966876562355939	-0.658752872211112	0.63141786208512	0.340171004275107	9.70793316457955e-07	0.33624256159035	1.12810325932677e-06	NA	NA	200
SNP2	selectedExposure	selectedOutcome	0.518352618592566	0.128059593842052	-0.149247268884222	1.18595250606935	0.262040816326531	0.0662508650346024	0.286111055880306	0.0439817898613991	NA	NA	50
SNP8	selectedExposure	selectedOutcome	0.09485051581818	0.717359509743795	-0.418709525531213	0.608410557167573	0.228280207005175	0.00117986681037937	0.283907421910948	4.62046571970375e-05	NA	NA	200
SNP4	selectedExposure	selectedOutcome	-0.257660278034338	0.329352938513568	-0.775392003575233	0.260071447506556	0.332013466816298	4.67015997454176e-09	0.365440397867215	6.5576201464402e-11	NA	NA	300
SNP15	selectedExposure	selectedOutcome	0.413195683011637	0.197305747724158	-0.214951554032197	1.04134292005547	0.383625450180072	0.00626622481607348	0.368546339825654	0.00845062574395742	NA	NA	50
SNP39	selectedExposure	selectedOutcome	0.55268196486008	0.0203192499613999	0.0858500586209646	1.0195138710992	0.492499812495312	0	0.479812584976755	6.53572998097385e-13	NA	NA	200
SNP11	selectedExposure	selectedOutcome	0.330752391786962	0.239446759206719	-0.220317737806695	0.881822521380618	0.275317725752508	1.41372737996774e-06	0.291417799392213	2.77102482196173e-07	NA	NA	300
SNP37	selectedExposure	selectedOutcome	0.0925660831798514	0.696319812042601	-0.372279903356331	0.557412069716034	0.257185718571857	0.00996282810602774	0.340530844409028	0.000526865593036153	NA	NA	100
SNP9	selectedExposure	selectedOutcome	0.174333983969543	0.557986483921309	-0.408916251653649	0.757584219592736	0.222082208220822	0.0265619633184209	0.263089724459803	0.00817920119584867	NA	NA	100
SNP10	selectedExposure	selectedOutcome	0.235735772295754	0.404138805458743	-0.31809381168939	0.789565356280899	0.256950780312125	0.0718464636358251	0.285440233673722	0.0445016710212307	NA	NA	50
SNP3	selectedExposure	selectedOutcome	0.171345762725239	0.566321422726445	-0.414259632726828	0.756951158177306	0.401908047701193	5.03050417266571e-09	0.477572940008021	8.64648191136418e-13	NA	NA	200
SNP26	selectedExposure	selectedOutcome	0.65906655418327	0.0186731588732366	0.109852731885035	1.2082803764815	0.325699618884654	9.36011812253510e-09	0.330143178985357	4.64319850010324e-09	NA	NA	300
SNP15	selectedExposure	selectedOutcome	0.330433291210524	0.248956133917515	-0.231318625077731	0.892185207498779	0.326968966321848	8.14921318360211e-09	0.372053778274129	2.77983076150067e-11	NA	NA	300
SNP46	selectedExposure	selectedOutcome	0.243165686743167	0.385471471833318	-0.305997176840061	0.792328550326394	0.428835220880522	3.45390709424212e-10	0.423264813396435	4.25559878657812e-10	NA	NA	200
SNP10	selectedExposure	selectedOutcome	0.0601838204517977	0.845132717811726	-0.543700164094911	0.664067804998506	0.20028802880288	0.045867219619539	0.240134235726585	0.0161072842091586	NA	NA	100
SNP17	selectedExposure	selectedOutcome	0.936357030675403	0.000749099067658544	0.391932768462949	1.48078129288786	0.388578714467862	1.71918857967844e-08	0.397763496406634	5.46303001397498e-09	NA	NA	200
SNP10	selectedExposure	selectedOutcome	0.151857819037377	0.515225087433641	-0.305534490815542	0.609250128890296	0.3045633840376	8.59561152607484e-08	0.285982705128336	4.69676294851718e-07	NA	NA	300
SNP34	selectedExposure	selectedOutcome	0.527126045240163	0.0852240527089333	-0.0731409476652368	1.12739303814556	0.423865546218487	0.0023482830743721	0.439300501522189	0.00141427132359354	NA	NA	50
SNP2	selectedExposure	selectedOutcome	0.954239995149883	0.00111944042615236	0.380297856379085	1.52818213392068	0.351236780919523	4.08177578228595e-07	0.363231740417741	1.24783325768609e-07	NA	NA	200
SNP1	selectedExposure	selectedOutcome	0.189115178737973	0.528641525729727	-0.399156617156057	0.777386974632002	0.337802445061127	1.16381862414846e-06	0.344436738124581	5.90782214935818e-07	NA	NA	200
SNP38	selectedExposure	selectedOutcome	0.31200545527919	0.292223407426216	-0.268593289265875	0.892604199824255	0.336552913822846	1.27992300558679e-06	0.366157015750328	9.70711161658953e-08	NA	NA	200
SNP29	selectedExposure	selectedOutcome	0.0679344561921419	0.821496094988948	-0.522210091414785	0.658079003799069	0.442796279627963	5.02492523439742e-06	0.360946369598534	0.000224902138973829	NA	NA	100
SNP25	selectedExposure	selectedOutcome	-0.444425201338041	0.217387001638821	-1.15058902754847	0.261738624872389	-0.00725090036014406	0.960255564219522	0.0485377067421989	0.737828805032088	NA	NA	50
SNP16	selectedExposure	selectedOutcome	0.170508626893439	0.544280797241975	-0.380640821257415	0.721658075044293	0.290789008766764	3.33807717283744e-07	0.304840305283696	7.17640198307084e-08	NA	NA	300
SNP25	selectedExposure	selectedOutcome	0.491621236898377	0.125107149331822	-0.13664328712095	1.1198857609177	0.510972388955582	0.00018396425046282	0.548643555551563	3.70484933658064e-05	NA	NA	50
