IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP23; SNP24	selectedExposure	selectedOutcome	1.01070771995008	0.00100132725006179	0.40862313606833	1.61279230383182	0.582232893157263	1.357824055146e-05	0.60101719721315	3.92951999719172e-06	NA	NA	50
SNP1	selectedExposure	selectedOutcome	0.600754091838445	0.173844759881762	-0.265052506368943	1.46656069004583	0.647915697892447	0	0.673689104089969	8.22913936104948e-28	NA	NA	200
SNP4; SNP10; SNP11; SNP18; SNP29	selectedExposure	selectedOutcome	1.09215835774995	9.59962457838152e-07	0.655273895054673	1.52904282044522	0.737367748530539	0	0.7590555168314	1.71956648688092e-57	NA	NA	300
SNP3; SNP8; SNP21; SNP24	selectedExposure	selectedOutcome	0.700867334200537	0.0565767558943218	-0.0196293201330231	1.4213639885341	0.646616665416636	0	0.683842867937587	6.45527297593002e-29	NA	NA	200
SNP1; SNP24	selectedExposure	selectedOutcome	0.96299939021289	0.0159976135393685	0.179492691166318	1.74650608925946	0.698229980333115	0	0.731150091065801	2.03262618240376e-51	NA	NA	300
SNP25	selectedExposure	selectedOutcome	1.47195516494586	0.0150086315399516	0.285780570412439	2.65812975947929	0.601920768307323	6.01016475281495e-06	0.621909602089916	1.43024315928609e-06	NA	NA	50
SNP7	selectedExposure	selectedOutcome	0.7577398289183	0.110127954876303	-0.171858179369113	1.68733783720571	0.762628262826283	0	0.767447250048733	1.24945010471875e-20	NA	NA	100
SNP9; SNP23	selectedExposure	selectedOutcome	0.899256758620463	0.00575346322788802	0.261015210882781	1.53749830635814	0.613732843321083	0	0.662190900591084	1.3037975463426e-26	NA	NA	200
SNP8	selectedExposure	selectedOutcome	1.06635886209933	0.0448812895389417	0.0243501505659331	2.10836757363273	0.723988044311603	0	0.7485286088055	4.17030763695835e-55	NA	NA	300
SNP13; SNP18	selectedExposure	selectedOutcome	1.18053881038315	0.016692773996166	0.213793557485503	2.1472840632808	0.593949579831933	8.40127368790568e-06	0.620670074549754	1.52175258824839e-06	NA	NA	50
SNP7; SNP8	selectedExposure	selectedOutcome	0.908601093735901	0.0375128833641651	0.0524917975349976	1.7647103899368	0.632991299129913	0	0.657847351102776	1.03760297290332e-13	NA	NA	100
SNP3; SNP29	selectedExposure	selectedOutcome	0.728163564076186	0.0481855938301782	0.00580989352592709	1.45051723462645	0.697744641607129	0	0.69081962397916	7.10562301539239e-44	NA	NA	300
SNP8; SNP14; SNP15; SNP20; SNP22; SNP29	selectedExposure	selectedOutcome	1.04751641317384	0.000363969069511421	0.471600200714975	1.62343262563271	0.537863145258103	7.31623294019404e-05	0.660148883074761	1.83337949356551e-07	NA	NA	50
