IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP15; SNP28	selectedExposure	selectedOutcome	1.51889476058489	7.60946440736048e-05	0.766444200092432	2.27134532107735	0.790348139255702	0	0.768335374487181	7.34263373669743e-11	NA	NA	50
SNP5; SNP10	selectedExposure	selectedOutcome	1.55896281222998	0.00147311110139816	0.598088872146813	2.51983675231314	0.666942694269427	0	0.677073618009134	1.04404688813972e-14	NA	NA	100
SNP4; SNP8; SNP13; SNP20	selectedExposure	selectedOutcome	0.958433902815674	0.00228581393158413	0.342602524407816	1.57426528122353	0.674038850971274	0	0.709300490447775	6.76267753441179e-32	NA	NA	200
SNP12; SNP13; SNP24; SNP25; SNP28	selectedExposure	selectedOutcome	0.973218619182738	7.14055974581217e-06	0.548340008734967	1.39809722963051	0.681128012533473	0	0.685702838075995	5.25793821632696e-43	NA	NA	300
SNP5; SNP17; SNP19	selectedExposure	selectedOutcome	1.01943051652078	0.00247868596216605	0.359122371800804	1.67973866124076	0.621320528211284	2.59081421634762e-06	0.757094963360134	1.99166942422749e-10	NA	NA	50
SNP11	selectedExposure	selectedOutcome	1.41047142411775	0.00318651932887562	0.473090955689558	2.34785189254594	0.623150315031503	0	0.721006745028112	2.69645271782482e-17	NA	NA	100
SNP12; SNP18	selectedExposure	selectedOutcome	0.754517755925148	0.0224722200003098	0.106559969063326	1.40247554278697	0.769642241056027	0	0.769597904335697	1.95458218727302e-40	NA	NA	200
SNP6; SNP10; SNP23; SNP25; SNP26; SNP27; SNP30	selectedExposure	selectedOutcome	0.817802744695769	4.29463668286205e-05	0.426003033969614	1.20960245542193	0.678868431871465	0	0.703784774420869	3.68009796334665e-46	NA	NA	300
SNP3; SNP6	selectedExposure	selectedOutcome	1.4705098387561	0.00101744548815844	0.59331978017256	2.34769989733963	0.633133253301321	1.52734778101377e-06	0.702464840016422	1.30230287027754e-08	NA	NA	50
SNP10	selectedExposure	selectedOutcome	2.09229811630575	0.000251703546611184	0.972012325145753	3.21258390746574	0.76949294929493	0	0.796380196486499	3.97487673790688e-23	NA	NA	100
SNP29; SNP30	selectedExposure	selectedOutcome	0.974141332879458	0.00157757961685028	0.369942137815304	1.57834052794361	0.738267456686417	0	0.753485753301429	6.50172042320958e-38	NA	NA	200
SNP8; SNP16; SNP18	selectedExposure	selectedOutcome	1.13310336867116	4.78623202020825e-05	0.586882022755932	1.67932471458639	0.662178913099034	0	0.677611110931463	1.14664965515113e-41	NA	NA	300
SNP1; SNP19	selectedExposure	selectedOutcome	1.38770643687994	0.000922575375963563	0.566774788889814	2.20863808487007	0.758943577430972	0	0.778756439540078	2.76614906547232e-11	NA	NA	50
SNP6; SNP8; SNP10	selectedExposure	selectedOutcome	1.04372061909915	0.00364356186338033	0.340136635736695	1.74730460246161	0.776378909472737	0	0.767797157981107	3.82833242683204e-40	NA	NA	200
SNP4; SNP18; SNP26; SNP28	selectedExposure	selectedOutcome	0.753371241067109	0.0152220882471611	0.144986786334711	1.36175569579951	0.374021608643457	0.00779408572755215	0.448160720511955	0.00109929370624252	NA	NA	50
SNP14; SNP16; SNP24	selectedExposure	selectedOutcome	1.04739987838592	0.000505221506604929	0.457151979212557	1.63764777755929	0.698757875787579	0	0.731267681380244	5.67496734927339e-18	NA	NA	100
SNP20; SNP27; SNP29	selectedExposure	selectedOutcome	0.902593009324839	0.00585373094166797	0.260671015285187	1.54451500336449	0.767063676591915	0	0.795900055478985	5.00418022829498e-45	NA	NA	200
SNP3; SNP5; SNP11; SNP16; SNP17; SNP21	selectedExposure	selectedOutcome	0.7906929711306	0.0008381993501054	0.326682901174732	1.25470304108647	0.710766119623551	0	0.731340579217026	1.85866298464993e-51	NA	NA	300
SNP3; SNP18; SNP19	selectedExposure	selectedOutcome	1.24370444696817	5.96456959734334e-05	0.63645742910742	1.85095146482891	0.633517406962785	1.50106578280114e-06	0.702375053966212	1.31026318397518e-08	NA	NA	50
SNP20	selectedExposure	selectedOutcome	0.766714945721525	0.133873067965179	-0.235774380626252	1.7692042720693	0.708970897089709	0	0.700196404154816	5.18864522595914e-16	NA	NA	100
SNP1; SNP4; SNP27; SNP30	selectedExposure	selectedOutcome	1.01467572130169	0.000109410212218387	0.500621930180799	1.52872951242258	0.617686942173554	0	0.65106242311467	1.68711745359996e-25	NA	NA	200
SNP3; SNP4; SNP5; SNP7; SNP21; SNP22; SNP23	selectedExposure	selectedOutcome	0.955346981213736	7.68314019425223e-06	0.536813792183709	1.37388017024376	0.687461860687341	0	0.691843799690086	4.73632715720138e-44	NA	NA	300
SNP1; SNP13; SNP16; SNP22	selectedExposure	selectedOutcome	1.04414589147414	0.0067367090771949	0.288868961772379	1.7994228211759	0.751740696278511	0	0.730918818761908	1.67397542450483e-09	NA	NA	50
SNP18; SNP20	selectedExposure	selectedOutcome	0.830300698210838	0.0419849482593203	0.0300922006270609	1.63050919579462	0.69962196219622	0	0.724796418956895	1.52885483809898e-17	NA	NA	100
SNP2; SNP6; SNP11; SNP12; SNP29; SNP30	selectedExposure	selectedOutcome	0.828700242714479	0.000187790272896063	0.39382302784846	1.2635774575805	0.699645991149779	0	0.712181883666109	2.9683665476539e-32	NA	NA	200
SNP8; SNP14; SNP20	selectedExposure	selectedOutcome	0.810613542607605	0.00325649694414728	0.270660331375415	1.35056675383979	0.736375293058812	0	0.744998686681683	2.47428530510544e-54	NA	NA	300
SNP27	selectedExposure	selectedOutcome	1.60494237719319	0.00184713578206649	0.594710563601513	2.61517419078487	0.689795918367347	1.09620599941506e-07	0.701709890136776	1.37067574157121e-08	NA	NA	50
SNP4	selectedExposure	selectedOutcome	0.512775444945986	0.186916813696241	-0.248745720909743	1.27429661080172	0.687344734473447	0	0.721691461523372	2.43539365276684e-17	NA	NA	100
SNP7; SNP9; SNP22; SNP29; SNP30	selectedExposure	selectedOutcome	0.760096627430852	0.000757498029241652	0.317751882833058	1.20244137202865	0.717560939023476	0	0.721337277125321	2.02526292524595e-33	NA	NA	200
SNP3; SNP17; SNP28; SNP29	selectedExposure	selectedOutcome	0.924343964262538	0.00149396507655558	0.3538891167628	1.49479881176227	0.657039300436672	0	0.675362617344416	2.65348139491675e-41	NA	NA	300
SNP25	selectedExposure	selectedOutcome	0.61394708425548	0.245775864574987	-0.42279333828302	1.65068750679398	0.665690276110444	3.41766425191133e-07	0.619938479654408	1.57828939595235e-06	NA	NA	50
SNP7; SNP11; SNP29	selectedExposure	selectedOutcome	0.979051305947097	0.00580433648265881	0.283451687275029	1.67465092461916	0.710879087908791	0	0.730692946505064	6.20426696814216e-18	NA	NA	100
SNP16; SNP25	selectedExposure	selectedOutcome	0.779234796633238	0.0159953198482216	0.145254726726825	1.41321486653965	0.738406960174004	0	0.743397468954881	1.97321690676273e-36	NA	NA	200
SNP4; SNP6; SNP8; SNP11; SNP13; SNP22	selectedExposure	selectedOutcome	0.865270104729055	1.98251124812491e-05	0.467811162128836	1.26272904732927	0.683809820109112	0	0.700489310829563	1.44053837299439e-45	NA	NA	300
