IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP9	selectedExposure	selectedOutcome	0.39079437424196	0.235044393132351	-0.254229374759869	1.03581812324379	0.564657863145258	2.71334527583823e-05	0.526237368631804	8.66763651927903e-05	NA	NA	50
SNP2	selectedExposure	selectedOutcome	-0.224839798833307	0.59123571058177	-1.04539847421876	0.595718876552143	0.198799879987999	0.0475299325453673	0.218378743206526	0.0290543031428499	NA	NA	100
SNP21	selectedExposure	selectedOutcome	0.322327979509307	0.494585817054688	-0.602592159682546	1.24724811870116	0.287348683717093	3.98560997529229e-05	0.295641350632366	2.13589977042154e-05	NA	NA	200
SNP5; SNP20; SNP21; SNP27; SNP28	selectedExposure	selectedOutcome	0.42737863131687	0.129250715470753	-0.124771534323253	0.979528796956992	0.320708007866754	1.6042746142673e-08	0.33975431128716	1.53361865859825e-09	NA	NA	300
SNP6; SNP14; SNP15	selectedExposure	selectedOutcome	0.7683575237795	0.000565949345112828	0.331523837847877	1.20519120971112	0.582328931572629	1.35257260219856e-05	0.567288344260345	1.74120133976297e-05	NA	NA	50
SNP6; SNP7; SNP10	selectedExposure	selectedOutcome	0.555473211791925	0.0044654370325463	0.172565285650271	0.938381137933579	0.29029702970297	0.00350413791325888	0.342428445332112	0.000487953118469988	NA	NA	100
SNP8	selectedExposure	selectedOutcome	0.274647745727533	0.525857144249142	-0.573946591857425	1.12324208331249	0.2649591239781	0.000157695824054605	0.261934408476223	0.000179160809434867	NA	NA	200
SNP1; SNP5; SNP16; SNP22; SNP27	selectedExposure	selectedOutcome	0.316120338504322	0.241058248440747	-0.212379422829629	0.844620099838273	0.321664462938477	1.44797565826386e-08	0.331639381166865	3.91749514626133e-09	NA	NA	300
SNP14; SNP22	selectedExposure	selectedOutcome	0.268598135517504	0.277071741334498	-0.215744967822563	0.752941238857571	0.282593037214886	0.0471149585788067	0.31460806402465	0.0260687172664799	NA	NA	50
SNP18; SNP28	selectedExposure	selectedOutcome	0.0299852127904683	0.915125211505473	-0.521450705051334	0.581421130632271	0.352439243924392	0.000350845412585863	0.34271446105492	0.000482322405562173	NA	NA	100
SNP8; SNP16; SNP30	selectedExposure	selectedOutcome	0.602936863910368	0.0426889488718401	0.01986543239032	1.18600829543042	0.263642091052276	0.000170381270818644	0.26931696486604	0.000115097300779456	NA	NA	200
SNP13; SNP19; SNP28	selectedExposure	selectedOutcome	-0.08053758777592	0.748670955564371	-0.573217241251035	0.412142065699195	0.271027011411238	2.07871506842838e-06	0.275419632189557	1.26924459046858e-06	NA	NA	300
SNP3; SNP29	selectedExposure	selectedOutcome	-0.41716888939792	0.365495895766541	-1.32069157366847	0.486353794872634	0.313709483793517	0.0269482763425298	0.331379957618216	0.018733435471578	NA	NA	50
SNP4	selectedExposure	selectedOutcome	0.270994128209899	0.611144614782599	-0.773649182882289	1.31563743930209	0.0709390939093909	0.482446180539805	0.16098052931665	0.10959409954127	NA	NA	100
SNP6; SNP9; SNP14; SNP19	selectedExposure	selectedOutcome	0.253353793636327	0.377286637334109	-0.309066066818482	0.815773654091136	0.281222530563264	5.8732597145728e-05	0.276914986294769	7.20149580572661e-05	NA	NA	200
SNP16; SNP25; SNP27; SNP29	selectedExposure	selectedOutcome	0.237331128359773	0.259298667572069	-0.175026773518994	0.649689030238539	0.393390593228814	2.0816775312152e-12	0.412467760577641	9.43642166744512e-14	NA	NA	300
SNP18; SNP24	selectedExposure	selectedOutcome	-0.38126745269192	0.155903328691246	-0.907890613887618	0.145355708503779	0.322833133253301	0.0226460677082478	0.324612468072394	0.0214497942307888	NA	NA	50
SNP14; SNP21	selectedExposure	selectedOutcome	-0.282317375470186	0.439543572356266	-0.998174453162054	0.433539702221683	0.303198319831983	0.0022563333095235	0.329867560620397	0.000803662679191637	NA	NA	100
SNP4; SNP5; SNP7; SNP9; SNP19; SNP24	selectedExposure	selectedOutcome	0.402554205382399	0.0329371651361864	0.0326302352806095	0.772478175484189	0.385881647041176	2.18987762141684e-08	0.369245367747606	7.42609029822523e-08	NA	NA	200
SNP7; SNP13; SNP21	selectedExposure	selectedOutcome	0.432090476004341	0.0735304603532603	-0.0411536687025071	0.905334620711189	0.20660674007489	0.000323985589005684	0.201470074182979	0.000446313149970154	NA	NA	300
