IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP5; SNP11; SNP13; SNP15	selectedExposure	selectedOutcome	0.161148925878473	0.531831166176558	-0.344032524770294	0.66633037652724	0.264441776710684	0.0637358695448677	0.309465202342754	0.0287500728436584	NA	NA	50
SNP2; SNP5; SNP27	selectedExposure	selectedOutcome	0.699807097785481	0.000786578480191877	0.29128679727798	1.10832739829298	0.267074707470747	0.00738391445529674	0.274236131692458	0.0057620115308782	NA	NA	100
SNP7; SNP8	selectedExposure	selectedOutcome	0.306132716658959	0.319463552444955	-0.29655177399709	0.908817207315008	0.427042676066902	4.16978487889472e-10	0.417781351914619	7.50279398456021e-10	NA	NA	200
SNP4; SNP5; SNP6; SNP7; SNP12; SNP15; SNP16; SNP18; SNP24; SNP26	selectedExposure	selectedOutcome	0.195574296343717	0.0905404528475254	-0.0308992152884234	0.422047807975857	0.346037622640252	9.42020311956559e-10	0.338531622578059	1.76946905556386e-09	NA	NA	300
SNP10	selectedExposure	selectedOutcome	0.30343708334511	0.501369535661306	-0.581128617153435	1.18800278384366	0.518367346938776	0.000143767622709216	0.473160632409204	0.000520099137699192	NA	NA	50
SNP19; SNP27	selectedExposure	selectedOutcome	0.438494266259975	0.131210524470015	-0.130913463985165	1.00790199650512	0.393351335133513	5.91447247488305e-05	0.389424672839085	6.21309849471173e-05	NA	NA	100
SNP2; SNP4; SNP6; SNP8; SNP12; SNP20; SNP22	selectedExposure	selectedOutcome	0.277610726432267	0.0245718831907472	0.0355775069764018	0.519643945888132	0.382635565889147	2.92192873498042e-08	0.384640846184603	1.87239884753107e-08	NA	NA	200
SNP23; SNP30	selectedExposure	selectedOutcome	0.431630495832764	0.192439724208903	-0.217428163259581	1.08068915492511	0.337905976733075	2.40658432096381e-09	0.375226306221283	1.8288833062231e-11	NA	NA	300
SNP16	selectedExposure	selectedOutcome	-0.164315332690537	0.68485991047872	-0.957859237092024	0.62922857171095	0.220456182472989	0.123786000479268	0.292317856305722	0.0394031283971493	NA	NA	50
SNP11; SNP14; SNP24; SNP27	selectedExposure	selectedOutcome	0.561042941634488	0.00589230107474127	0.16171916879258	0.960366714476396	0.244512451245125	0.0144051903892679	0.304754018183226	0.00204986855331052	NA	NA	100
SNP26	selectedExposure	selectedOutcome	0.160509019330048	0.715215384177245	-0.701715627887188	1.02273366654728	0.372007800195005	7.35386706416108e-08	0.389579979015693	1.18519123962083e-08	NA	NA	200
SNP1; SNP13; SNP20	selectedExposure	selectedOutcome	-0.219822508458137	0.398274408458934	-0.729874113877369	0.290229096961095	0.285310281225347	5.61907381604405e-07	0.27874199980129	9.32550735246615e-07	NA	NA	300
SNP8; SNP12	selectedExposure	selectedOutcome	0.282866150473889	0.239236502794731	-0.188209338279481	0.75394163922726	0.392364945978391	0.00511094422536091	0.408729418696302	0.0032091766832611	NA	NA	50
SNP19	selectedExposure	selectedOutcome	0.57897506627876	0.0869381167483021	-0.0839451136078572	1.24189524616538	0.388586858685869	7.36207508323282e-05	0.383917379388785	8.04270162106048e-05	NA	NA	100
SNP12; SNP30	selectedExposure	selectedOutcome	0.0017630052233798	0.99586762850994	-0.665413053287505	0.668939063734265	0.342115052876322	8.35637044386766e-07	0.334979321488191	1.24435513931841e-06	NA	NA	200
SNP17; SNP21	selectedExposure	selectedOutcome	0.12542679771879	0.652519135770493	-0.420544634257357	0.671398229694938	0.343583373148591	1.2538514782081e-09	0.366345746511598	5.83743093665424e-11	NA	NA	300
SNP8; SNP28	selectedExposure	selectedOutcome	-0.0438814394585114	0.884132713673949	-0.634045972717157	0.546283093800134	0.381416566626651	0.00659219803914321	0.430532360165999	0.00180290529381855	NA	NA	50
SNP9; SNP26; SNP30	selectedExposure	selectedOutcome	0.231205351474693	0.312087946642692	-0.217084600992606	0.679495303941992	0.441044104410441	5.51829132861389e-06	0.452002733640662	2.35006884537219e-06	NA	NA	100
SNP16; SNP18; SNP23	selectedExposure	selectedOutcome	0.215027690123441	0.306001908529201	-0.196683003308698	0.626738383555581	0.351230780769519	4.08372909231595e-07	0.343850215292074	6.19160235196553e-07	NA	NA	200
SNP1; SNP10; SNP17	selectedExposure	selectedOutcome	0.441212634701107	0.0297508204389715	0.0433272823024716	0.839097987099743	0.330266780742008	5.66941109662717e-09	0.347035633363471	6.45818766704029e-10	NA	NA	300
SNP6; SNP8	selectedExposure	selectedOutcome	-0.0515611011850807	0.86549127834376	-0.648166304736066	0.545044102365905	0.196542617046819	0.170864649085271	0.202922642450427	0.157555628320307	NA	NA	50
SNP8; SNP21; SNP25	selectedExposure	selectedOutcome	0.167650714804639	0.459140636317926	-0.276231413686354	0.611532843295632	0.368304830483048	0.000180604291021722	0.328717563098807	0.000840352575333545	NA	NA	100
