IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP47	selectedExposure	selectedOutcome	0.668444056475778	0.0602467804923522	-0.0288087141582526	1.36569682710981	0.685292529252925	0	0.6908872660166	1.79689761539885e-15	NA	NA	100
SNP10	selectedExposure	selectedOutcome	1.04283474142947	0.00281168626169144	0.35870296667386	1.72696651618509	0.683668929654774	0	0.702992637165145	5.11758914960946e-46	NA	NA	300
SNP1	selectedExposure	selectedOutcome	0.701307068050505	0.0730783379798261	-0.065587452865893	1.4682015889669	0.521524152415242	4.31270442598759e-08	0.607457793321331	2.0693554654677e-11	NA	NA	100
SNP28	selectedExposure	selectedOutcome	0.953526037902616	0.0158381814478509	0.178901698722499	1.72815037708273	0.740657016425411	0	0.752491377380462	9.16823494279434e-38	NA	NA	200
SNP37; SNP41	selectedExposure	selectedOutcome	0.869018676638488	9.84916314332365e-05	0.43164741202779	1.30638994124919	0.686892521028011	0	0.709528541946408	3.25892647817194e-47	NA	NA	300
SNP11	selectedExposure	selectedOutcome	1.22032616255298	0.00012483809500613	0.596882440710638	1.84376988439532	0.664428715874621	0	0.684933127585477	7.07982544664484e-43	NA	NA	300
SNP24	selectedExposure	selectedOutcome	0.946657989853764	0.00783644944273897	0.248880569051254	1.64443541065627	0.680849021225531	0	0.708356883083142	8.83648672274824e-32	NA	NA	200
SNP7	selectedExposure	selectedOutcome	0.73983956068005	0.0812040053729054	-0.0917390206921944	1.57141814205229	0.573877551020408	1.89493498476226e-05	0.608998428850875	2.69380823229354e-06	NA	NA	50
SNP28	selectedExposure	selectedOutcome	1.0581794508774	0.00497571792012818	0.319735944932996	1.79662295682181	0.634409360234006	0	0.625391208398216	4.19411950690924e-23	NA	NA	200
SNP17; SNP20	selectedExposure	selectedOutcome	0.818336635469276	0.00113383577866098	0.325587177188186	1.31108609375037	0.674769369234231	0	0.69051938614333	1.14350740056497e-29	NA	NA	200
SNP3	selectedExposure	selectedOutcome	0.737365154379373	0.0351385802148897	0.0513778262059355	1.42335248255281	0.661110111011101	0	0.689535784677817	2.14369071843878e-15	NA	NA	100
SNP8	selectedExposure	selectedOutcome	0.671328480441621	0.0468752915236093	0.00927608805027258	1.33338087283297	0.734261704681873	5.18478186157346e-09	0.773515580834905	4.54876860349089e-11	NA	NA	50
SNP41	selectedExposure	selectedOutcome	0.562750957372724	0.111962062436411	-0.131188165778594	1.25669008052404	0.576278511404562	1.72320156537162e-05	0.630006855516591	9.47445759665504e-07	NA	NA	50
SNP15; SNP29	selectedExposure	selectedOutcome	1.2231871514008	2.56640908636054e-05	0.653581127313592	1.792793175488	0.75042744919388	0	0.749350487061664	2.74327905756546e-55	NA	NA	300
SNP5	selectedExposure	selectedOutcome	0.768242101179081	0.0680085869747271	-0.0568363478237437	1.59332055018191	0.780741018525463	0	0.773473505155354	4.50396151576413e-41	NA	NA	200
SNP1	selectedExposure	selectedOutcome	0.986195881871889	0.0119310270731323	0.217392490192681	1.7549992735511	0.672744363826265	0	0.682830213041953	1.58853808744411e-42	NA	NA	300
SNP26	selectedExposure	selectedOutcome	0.694896014898755	0.0654145227530909	-0.0443356089950094	1.43412763879252	0.694377437743774	0	0.702892407178729	3.58869090414794e-16	NA	NA	100
SNP3; SNP16; SNP19	selectedExposure	selectedOutcome	0.947545562578215	9.73572082270054e-05	0.470995812587422	1.42409531256901	0.6957126190291	0	0.731566307218462	1.67152263304312e-51	NA	NA	300
SNP9	selectedExposure	selectedOutcome	0.637618310903296	0.0647611127980335	-0.0390325574783205	1.31426917928491	0.631692677070828	1.62992369357739e-06	0.65289465694979	2.76790545583618e-07	NA	NA	50
SNP22; SNP38	selectedExposure	selectedOutcome	0.744186135214747	0.010916668921602	0.171150932727854	1.31722133770164	0.664354937277081	0	0.673927913646688	4.51478475930739e-41	NA	NA	300
SNP11; SNP27; SNP39	selectedExposure	selectedOutcome	0.948858359539567	2.42851720186711e-06	0.554350081767456	1.34336663731168	0.74321608040201	0	0.774913916658131	2.59084003473259e-41	NA	NA	200
SNP29	selectedExposure	selectedOutcome	0.9369596805317	0.0189847548788494	0.154120734822012	1.71979862624139	0.653853931710352	0	0.682136111237779	2.07107199307872e-42	NA	NA	300
SNP29	selectedExposure	selectedOutcome	0.707186394657989	0.0930657500855294	-0.118122896176707	1.53249568549268	0.671203120312031	0	0.717113027043428	4.78409356149242e-17	NA	NA	100
SNP47	selectedExposure	selectedOutcome	0.921930380772542	0.00771242354807917	0.24374927630466	1.60011148524042	0.67129528238206	0	0.667788574646358	3.4495523189329e-27	NA	NA	200
SNP9; SNP10; SNP23	selectedExposure	selectedOutcome	1.16498984358915	1.82905356621313e-06	0.686447965099653	1.64353172207865	0.706754075045278	0	0.717427402895673	1.0533954313636e-48	NA	NA	300
SNP30	selectedExposure	selectedOutcome	1.08032920016199	0.00628303217900581	0.30546978134514	1.85518861897883	0.66548713717843	0	0.692698829279069	6.43336698485192e-30	NA	NA	200
SNP9	selectedExposure	selectedOutcome	0.499230353025476	0.138468194798176	-0.161222322401095	1.15968302845205	0.591383138313831	0	0.663897993618078	5.12933455646675e-14	NA	NA	100
SNP27; SNP42	selectedExposure	selectedOutcome	0.84258270886623	0.00286026258004315	0.288851326959314	1.39631409077315	0.680039000975024	0	0.699492565050902	1.03588738397283e-30	NA	NA	200
SNP1; SNP5	selectedExposure	selectedOutcome	0.750418690004736	0.00275758981011856	0.259096605435937	1.24174077457353	0.731624573606373	0	0.741117956589454	1.69429273147562e-53	NA	NA	300
SNP3; SNP5; SNP15	selectedExposure	selectedOutcome	0.5189435111927	0.0152137076174507	0.0999055106083829	0.937981511777017	0.690300757518938	0	0.705477176825892	1.98578886599163e-31	NA	NA	200
SNP30	selectedExposure	selectedOutcome	1.02368093240244	0.0131867192103013	0.214228891245507	1.83313297355937	0.71799019989111	0	0.742949226031918	6.86412698105207e-54	NA	NA	300
SNP21	selectedExposure	selectedOutcome	1.1555903692916	0.00174773343388402	0.431987997875511	1.8791927407077	0.708748218705468	0	0.726855917604024	3.80921130760723e-34	NA	NA	200
SNP6	selectedExposure	selectedOutcome	0.844205712998298	0.0191759898085331	0.137737808868819	1.55067361712778	0.686691629906999	0	0.703910009366892	3.49281292518806e-46	NA	NA	300
SNP8	selectedExposure	selectedOutcome	1.11438296881651	0.00716255071982923	0.30218673657753	1.92657920105549	0.759327932793279	0	0.787312820830881	2.65215826041431e-22	NA	NA	100
SNP24	selectedExposure	selectedOutcome	0.700931195459661	0.0758684046239912	-0.0729627162898134	1.47482510720914	0.774500862521563	0	0.783594558768965	8.46214245879143e-43	NA	NA	200
SNP13	selectedExposure	selectedOutcome	1.3106173150045	0.0010086443767222	0.529388241204499	2.09184638880451	0.688229205730143	0	0.722576215386933	1.39669519633814e-33	NA	NA	200
SNP23	selectedExposure	selectedOutcome	0.578104986247132	0.0546936917302901	-0.0116332070767801	1.16784317957104	0.698981099789998	0	0.717394676580222	1.0687395526795e-48	NA	NA	300
SNP17	selectedExposure	selectedOutcome	0.659407338315843	0.0984777547572402	-0.122794026942613	1.4416087035743	0.706786169654241	0	0.739598537129337	6.84598167225576e-36	NA	NA	200
SNP4; SNP26	selectedExposure	selectedOutcome	0.765032862419094	0.00640838601370625	0.215006699128227	1.31505902570996	0.632842587139857	0	0.690119133203354	9.3684075500851e-44	NA	NA	300
SNP9	selectedExposure	selectedOutcome	0.887667539249505	0.0269767794706212	0.10108908922134	1.67424598927767	0.704847387193191	0	0.724997330252111	3.51163626921867e-50	NA	NA	300
SNP19	selectedExposure	selectedOutcome	1.21833555311979	0.000262049070625586	0.564151656383386	1.87251944985619	0.700774077407741	0	0.68585350652759	3.45045501342469e-15	NA	NA	100
SNP22; SNP44	selectedExposure	selectedOutcome	0.902320822348321	0.00113709285230713	0.358865482525478	1.44577616217116	0.664836120903023	0	0.713582206350225	1.98214486224573e-32	NA	NA	200
SNP15	selectedExposure	selectedOutcome	1.11427691825553	0.00275660710712685	0.384752220007256	1.8438016165038	0.696534850387227	0	0.724154996624567	5.15591093357804e-50	NA	NA	300
SNP19	selectedExposure	selectedOutcome	0.44221984697657	0.197704380447545	-0.230648622696329	1.11508831664947	0.651877296932423	0	0.658417049130555	3.14462574366605e-26	NA	NA	200
SNP23; SNP38	selectedExposure	selectedOutcome	0.484228094100794	0.072754619626899	-0.0446880389894435	1.01314422719103	0.708347870531895	0	0.736494078241121	1.60389069343814e-52	NA	NA	300
SNP9; SNP18	selectedExposure	selectedOutcome	0.955587259595337	5.63996547501877e-05	0.490542396494984	1.42063212269569	0.779495798319328	0	0.812029264013764	8.30301326310555e-13	NA	NA	50
SNP28	selectedExposure	selectedOutcome	1.13403883588748	0.00198227389648717	0.415395167196882	1.85268250457807	0.676954923873097	0	0.713268197656954	2.17047365680628e-32	NA	NA	200
SNP32	selectedExposure	selectedOutcome	0.690938929958455	0.0529946396477258	-0.00892680240644894	1.39080466232336	0.646930173254331	0	0.671190934667733	1.51571881390606e-27	NA	NA	200
SNP9	selectedExposure	selectedOutcome	0.751305108988648	0.0399087256493687	0.0346377559183348	1.46797246205896	0.67422571361904	0	0.691280233028043	5.92198579332818e-44	NA	NA	300
SNP31; SNP35	selectedExposure	selectedOutcome	0.7790862386434	0.000999960508446826	0.315034146936086	1.24313833035071	0.780414041404141	0	0.767590553878597	1.21688166472045e-20	NA	NA	100
SNP12	selectedExposure	selectedOutcome	0.729383662737564	0.0706239933029129	-0.0613544870788252	1.52012181255395	0.738445844584458	0	0.758442024387434	6.33093804747481e-20	NA	NA	100
SNP16	selectedExposure	selectedOutcome	0.444746649022158	0.288747242180582	-0.376922607631338	1.26641590567565	0.703868596714918	0	0.730938037612759	1.07784051145869e-34	NA	NA	200
SNP5	selectedExposure	selectedOutcome	0.79049798344898	0.0201365899341538	0.1237658076762	1.45723015922176	0.663894043267147	0	0.690008510960372	9.78577216333334e-44	NA	NA	300
SNP8	selectedExposure	selectedOutcome	0.698305712733547	0.0490248752349375	0.00298400835736912	1.39362741710972	0.720037333748153	0	0.716244514838967	1.77432586400148e-48	NA	NA	300
SNP2	selectedExposure	selectedOutcome	0.68968498965597	0.0671514688352045	-0.0487145715612647	1.42808455087321	0.744746118652966	0	0.771495845234775	9.55983959727628e-41	NA	NA	200
SNP13	selectedExposure	selectedOutcome	0.667642085281784	0.0498505406985263	0.000435814798411926	1.33484835576516	0.664986498649865	0	0.702303115919477	3.89123255686415e-16	NA	NA	100
SNP43	selectedExposure	selectedOutcome	1.47154607751586	0.000103185991250014	0.728771019222732	2.21432113580898	0.705185629640741	0	0.751567676278763	1.2597987005819e-37	NA	NA	200
SNP32	selectedExposure	selectedOutcome	0.682055215075381	0.0936235685019832	-0.115281798018818	1.47939222816958	0.601488148814881	0	0.606405274267353	2.28873033019191e-11	NA	NA	100
SNP3; SNP18; SNP28	selectedExposure	selectedOutcome	0.834860975529476	0.000395327782213714	0.373045344337001	1.29667660672195	0.711538128201424	0	0.734887964552229	3.4630040696552e-52	NA	NA	300
SNP27; SNP45	selectedExposure	selectedOutcome	1.01307999184428	3.62568475048829e-05	0.532319473057648	1.49384051063092	0.666802670066752	0	0.682225069764455	9.75082591038876e-29	NA	NA	200
SNP24; SNP29	selectedExposure	selectedOutcome	1.08830651906544	7.01221140319114e-05	0.551809849398466	1.62480318873241	0.759054656162846	0	0.764028855231336	1.16320055105558e-58	NA	NA	300
SNP11	selectedExposure	selectedOutcome	0.705393851088856	0.0699474266839845	-0.0574952663932612	1.46828296857097	0.755007500750075	0	0.763572625075671	2.53384362903645e-20	NA	NA	100
SNP10	selectedExposure	selectedOutcome	0.952156838452506	0.0118573412986298	0.210533294288903	1.69378038261611	0.733901043344926	0	0.755477931681498	1.14674152178583e-56	NA	NA	300
SNP17; SNP27	selectedExposure	selectedOutcome	0.772346719453796	0.00579491290465797	0.223712866507001	1.32098057240059	0.69322636918188	0	0.729801315450975	3.82155584661234e-51	NA	NA	300
SNP20	selectedExposure	selectedOutcome	0.699581196323314	0.0210008275154063	0.105485870930469	1.29367652171616	0.71025100278892	0	0.718502451474938	6.54311176944173e-49	NA	NA	300
SNP5	selectedExposure	selectedOutcome	1.14393449565731	0.00318204971827787	0.383802707032996	1.90406628428162	0.732087302182555	0	0.751008198523444	1.52616353348902e-37	NA	NA	200
SNP9	selectedExposure	selectedOutcome	0.981080618422839	0.00841601213289421	0.251308357600302	1.71085287924538	0.709519439104879	0	0.710193825612084	2.45172520278947e-47	NA	NA	300
SNP1	selectedExposure	selectedOutcome	0.43912376202245	0.246592137531637	-0.303684227894339	1.18193175193924	0.59825545638641	0	0.69017461879702	1.25185148464164e-29	NA	NA	200
SNP15	selectedExposure	selectedOutcome	0.867336565583989	0.0230123786952698	0.119524369555647	1.61514876161233	0.742521008403361	0	0.750645472327612	3.44744595713763e-10	NA	NA	50
SNP20; SNP30	selectedExposure	selectedOutcome	0.626576726985138	0.0152466035533326	0.120463345958612	1.13269010801166	0.653204591162124	0	0.692470394996989	3.69234738766972e-44	NA	NA	300
SNP2	selectedExposure	selectedOutcome	0.83153672443338	0.0170422084780036	0.14841791092526	1.5146555379415	0.682873809708997	0	0.694232138196419	1.82712592978506e-44	NA	NA	300
SNP36	selectedExposure	selectedOutcome	0.674635214958598	0.0408828140556556	0.0279633112763603	1.32130711864084	0.662257136190402	0	0.681336392220396	2.80883396659763e-42	NA	NA	300
SNP43; SNP45	selectedExposure	selectedOutcome	0.731662978201949	0.00581978265698184	0.21166489225224	1.25166106415166	0.72833570839271	0	0.757867880401005	1.40183123361615e-38	NA	NA	200
SNP25; SNP30	selectedExposure	selectedOutcome	0.92917872124068	0.00133720747833809	0.36146388651281	1.49689355596855	0.75892532139246	0	0.767771446814064	1.46605800878282e-59	NA	NA	300
SNP6; SNP23	selectedExposure	selectedOutcome	1.24630134007587	1.00641257791864e-05	0.693126222823822	1.79947645732793	0.754451938354871	0	0.750416203435776	1.5898217655699e-55	NA	NA	300
SNP30	selectedExposure	selectedOutcome	0.990698393099153	0.00734678699406699	0.266360871333555	1.71503591486475	0.730176557517306	0	0.738820410540066	5.20754616784188e-53	NA	NA	300
SNP42	selectedExposure	selectedOutcome	0.861619681860404	0.0189853943055096	0.141724186723998	1.58151517699681	0.661506150615062	0	0.717956720726049	4.22862316349006e-17	NA	NA	100
SNP2	selectedExposure	selectedOutcome	0.721461436061545	0.0317511014962315	0.0630127307011826	1.37991014142191	0.653397358943577	6.04489198488352e-07	0.692238509362524	2.57056739575104e-08	NA	NA	50
SNP13	selectedExposure	selectedOutcome	0.778329773801552	0.023791644743791	0.103473036327311	1.45318651127579	0.735627729196991	0	0.739550912034754	3.64876738366303e-53	NA	NA	300
SNP10; SNP14	selectedExposure	selectedOutcome	0.7021937926733	0.00416831922366719	0.221841314061841	1.18254627128476	0.680060445116057	0	0.706460968965365	1.1981424761962e-46	NA	NA	300
SNP2	selectedExposure	selectedOutcome	0.639619915798522	0.0704560840309113	-0.0533898474970221	1.33262967909407	0.656129612961296	0	0.685942804021871	3.4111385781738e-15	NA	NA	100
SNP20	selectedExposure	selectedOutcome	0.888757888971598	0.032933262265148	0.0720591421781763	1.70545663576502	0.704722472247225	0	0.723877106562043	1.75598287672576e-17	NA	NA	100
SNP24	selectedExposure	selectedOutcome	0.849414757899813	0.0145641323147014	0.167959484395604	1.53087003140402	0.697182929573239	0	0.702322884489671	4.76727625998386e-31	NA	NA	200
SNP5	selectedExposure	selectedOutcome	0.914567196616148	0.00974911325554601	0.221029872064508	1.60810452116779	0.709701218902432	0	0.717085722028325	1.22495172986053e-48	NA	NA	300
SNP18	selectedExposure	selectedOutcome	1.0324849544284	0.000337726988530005	0.467933585248602	1.5970363236082	0.666522652265227	0	0.755774769438183	1.01002345013866e-19	NA	NA	100
