IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP8	selectedExposure	selectedOutcome	1.42369607175373	0.0193859204993489	0.230213402881492	2.61717874062597	0.431836734693878	0.00190735755425057	0.577244154987553	1.14145429205072e-05	NA	NA	50
SNP28	selectedExposure	selectedOutcome	1.01013748176141	0.06124653063384	-0.0476286890866211	2.06790365260943	0.685292529252925	0	0.6908872660166	1.79689761539885e-15	NA	NA	100
SNP3; SNP6; SNP8; SNP10	selectedExposure	selectedOutcome	0.981205626756817	0.000952995092845301	0.399153646262473	1.56325760725116	0.712283807095178	0	0.712511955334954	2.69943262691416e-32	NA	NA	200
SNP9; SNP15; SNP16; SNP19; SNP25	selectedExposure	selectedOutcome	0.973395678626939	9.56059805596596e-05	0.484396631892324	1.46239472536155	0.758754652829476	0	0.760962319917958	6.17029887858306e-58	NA	NA	300
SNP11	selectedExposure	selectedOutcome	0.817241477785476	0.265154150365258	-0.620231442492428	2.25471439806338	0.642833133253301	9.82607247201738e-07	0.621008377156322	1.49625112060518e-06	NA	NA	50
SNP6; SNP24	selectedExposure	selectedOutcome	1.08081264025294	0.0069119972389779	0.296543495506827	1.86508178499905	0.734713471347135	0	0.738247419253902	1.88620297662415e-18	NA	NA	100
SNP4; SNP25; SNP26	selectedExposure	selectedOutcome	0.739234215328554	0.033977818361805	0.0559117430011005	1.42255668765601	0.666676666916673	0	0.693708152507175	4.9203882622048e-30	NA	NA	200
SNP1; SNP7; SNP10; SNP11; SNP17; SNP19	selectedExposure	selectedOutcome	0.926907446936629	1.75244640878375e-06	0.546848205509944	1.30696668836331	0.683668929654774	0	0.702992637165145	5.11758914960946e-46	NA	NA	300
SNP12	selectedExposure	selectedOutcome	1.08024175366033	0.0138978361728132	0.219539784239089	1.94094372308158	0.681728691476591	1.61143856274105e-07	0.750671390934199	3.43996734400173e-10	NA	NA	50
SNP1	selectedExposure	selectedOutcome	-0.0241567948425159	0.952001446835065	-0.810726325920997	0.762412736235965	0.629138913891389	0	0.648955655139307	2.83922684130634e-13	NA	NA	100
SNP3; SNP8; SNP11	selectedExposure	selectedOutcome	0.337968955033351	0.289524594695011	-0.287435882883611	0.963373792950313	0.678321458036451	0	0.70092926229816	6.99394021841304e-31	NA	NA	200
SNP16; SNP27	selectedExposure	selectedOutcome	0.626615427181365	0.0866503962647733	-0.0901980393456795	1.34342889370841	0.683909821220236	0	0.714258084267253	4.23357168984857e-48	NA	NA	300
SNP19; SNP25	selectedExposure	selectedOutcome	1.14203981130085	0.00337412473364783	0.378466444833105	1.9056131777686	0.647250900360144	8.02418136929446e-07	0.687487769376179	3.49264708182876e-08	NA	NA	50
SNP1; SNP8; SNP29; SNP30	selectedExposure	selectedOutcome	0.885976951941032	0.000807560897313881	0.367653269857796	1.40430063402427	0.521524152415242	4.31270442598759e-08	0.607457793321331	2.0693554654677e-11	NA	NA	100
SNP18; SNP28	selectedExposure	selectedOutcome	0.880444942823647	0.00987629723540076	0.211625924372782	1.54926396127451	0.740657016425411	0	0.752491377380462	9.16823494279434e-38	NA	NA	200
SNP6; SNP21	selectedExposure	selectedOutcome	1.29421307602843	0.00417724695982673	0.408666215423882	2.17975993663298	0.741733574817498	0	0.75901699995516	1.75536482410358e-57	NA	NA	300
SNP11; SNP12; SNP26	selectedExposure	selectedOutcome	1.17966230013847	0.000198750335974717	0.558231383213325	1.80109321706362	0.664002400240024	0	0.701896039222806	4.11452023688262e-16	NA	NA	100
SNP4	selectedExposure	selectedOutcome	0.481213034817005	0.379831480979919	-0.592748331277045	1.55517440091105	0.690399759994	0	0.700882620473157	7.08395937097249e-31	NA	NA	200
SNP22	selectedExposure	selectedOutcome	0.760610344713116	0.0791416379523843	-0.088497577003415	1.60971826642965	0.665978391356543	3.37211309074539e-07	0.718238824046597	4.3065208964098e-09	NA	NA	50
SNP17; SNP23; SNP24	selectedExposure	selectedOutcome	1.15086921378447	0.000751974475669314	0.481511942450631	1.8202264851183	0.772961296129613	0	0.784240872276521	4.94085460352018e-22	NA	NA	100
SNP4; SNP10; SNP18; SNP22	selectedExposure	selectedOutcome	0.806949686507401	0.000864295906983197	0.332187796714765	1.28171157630004	0.753203330083252	0	0.7442902223577	1.46834292328088e-36	NA	NA	200
SNP5; SNP13; SNP23; SNP29; SNP30	selectedExposure	selectedOutcome	0.757141597535029	0.00119751476408889	0.299051347560111	1.21523184750995	0.686892521028011	0	0.709528541946408	3.25892647817194e-47	NA	NA	300
