IV	Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	ivw_CIUpper	Spearman_E	Spearman_P	Pearson_E	Pearson_P	TSLS_E	TSLS_P	Sample.n
SNP4; SNP6; SNP19	selectedExposure	selectedOutcome	0.173915157937816	0.541273158150099	-0.384070862839167	0.731901178714799	0.450852340936375	0.00113928359449762	0.511626613542937	0.000146214045182244	NA	NA	50
SNP7; SNP12; SNP20	selectedExposure	selectedOutcome	0.116804333345854	0.679491306463574	-0.437299970972337	0.670908637664044	0.191779177917792	0.0560635585458326	0.166001645853246	0.0988162756750593	NA	NA	100
SNP7; SNP17; SNP20	selectedExposure	selectedOutcome	0.254847251092071	0.30024968674501	-0.227334767007413	0.737029269191554	0.284887122178055	4.66236735304191e-05	0.304670027315176	1.15234421012056e-05	NA	NA	200
SNP10; SNP17; SNP20	selectedExposure	selectedOutcome	0.329004890737565	0.0921618408847882	-0.0538920505795463	0.711901832054677	0.363007144523828	1.21409112168475e-10	0.354506245442419	2.59764934279947e-10	NA	NA	300
SNP1; SNP2; SNP12	selectedExposure	selectedOutcome	0.232363515748911	0.40402932134813	-0.313416259753497	0.778143291251319	0.265402160864346	0.0627516651527346	0.227346042683899	0.112334018038114	NA	NA	50
SNP21	selectedExposure	selectedOutcome	-0.238340749287911	0.632932990708189	-1.21643249749846	0.739750998922635	0.125520552055206	0.212995426359588	0.151694272480994	0.131912115569083	NA	NA	100
SNP7; SNP8; SNP19; SNP26	selectedExposure	selectedOutcome	0.285039201541971	0.078454979464362	-0.0324351593525211	0.602513562436463	0.330734268356709	1.98259284143368e-06	0.352384670002022	3.0988097877175e-07	NA	NA	200
SNP4; SNP6; SNP26	selectedExposure	selectedOutcome	0.403256706808778	0.0906974298381209	-0.0639387287212148	0.87045214233877	0.447324970277448	0	0.467666318497641	1.04324044897515e-17	NA	NA	300
SNP12	selectedExposure	selectedOutcome	1.26920569298326	0.00564191530046567	0.370473995085618	2.1679373908809	0.296134453781513	0.0371852510521118	0.310472491981749	0.0282075237876	NA	NA	50
SNP1	selectedExposure	selectedOutcome	0.513014144694085	0.140500513239087	-0.169168478841345	1.19519676822952	0.335001500150015	0.000701493538753983	0.321407038515881	0.00111164725502729	NA	NA	100
SNP1; SNP11; SNP16; SNP22; SNP30	selectedExposure	selectedOutcome	0.0967866324548018	0.692567618874695	-0.383009168358984	0.576582433268587	0.322193054826371	3.71130678381079e-06	0.341398612254968	7.52527173624578e-07	NA	NA	200
SNP1; SNP18	selectedExposure	selectedOutcome	0.898448327425593	0.00117466655097969	0.355783472265868	1.44111318258532	0.394335492616585	1.81234931614238e-12	0.423821662008361	1.65489921971439e-14	NA	NA	300
SNP14; SNP27	selectedExposure	selectedOutcome	0.459451308523756	0.106725722835773	-0.0988002383704798	1.01770285541799	0.29546218487395	0.0376334674535574	0.280039567647307	0.0488725828962256	NA	NA	50
SNP17; SNP22	selectedExposure	selectedOutcome	0.524211764736616	0.0365385264300775	0.0328231832102799	1.01560034626295	0.239207920792079	0.0167256654294233	0.311022920074718	0.00163477162739227	NA	NA	100
SNP20; SNP30	selectedExposure	selectedOutcome	0.0929581266051579	0.654817059683559	-0.314562776070577	0.500479029280893	0.279678991974799	6.46714513968398e-05	0.308417147170369	8.86582052888845e-06	NA	NA	200
SNP11; SNP22; SNP26	selectedExposure	selectedOutcome	0.580331565833964	0.00553422750860692	0.170325032828317	0.99033809883961	0.319358659540662	1.85279384385089e-08	0.350408868403481	4.29338648533826e-10	NA	NA	300
SNP14; SNP17	selectedExposure	selectedOutcome	0.371660976851998	0.233169819133551	-0.239328659635251	0.982650613339248	0.208547418967587	0.145816640947939	0.121865279975304	0.399188702525175	NA	NA	50
SNP1; SNP14; SNP16	selectedExposure	selectedOutcome	0.0494334705327438	0.85857598400465	-0.494308376594814	0.593175317660302	0.485124512451245	4.49201232074928e-07	0.502226705820725	1.01590458654067e-07	NA	NA	100
SNP3; SNP12; SNP22	selectedExposure	selectedOutcome	0.207814720064129	0.399922626391069	-0.276063872140003	0.691693312268261	0.233336833420836	0.000909570168499512	0.259641882590986	0.000205018131055169	NA	NA	200
SNP7; SNP18; SNP21	selectedExposure	selectedOutcome	0.0821688609213167	0.739026837015128	-0.401252147481601	0.565589869324235	0.387466971855243	4.85467123597233e-12	0.392755439300385	1.66446887988677e-12	NA	NA	300
SNP12; SNP15	selectedExposure	selectedOutcome	0.124538797569351	0.627923843460788	-0.379105054068497	0.628182649207199	0.454789915966387	0.00102041424887096	0.48793154475615	0.000325173417699714	NA	NA	50
SNP27	selectedExposure	selectedOutcome	0.866650815384035	0.0164976372222596	0.158224892256261	1.57507673851181	0.414233423342334	2.18152641558869e-05	0.460137785054669	1.46077976178946e-06	NA	NA	100
SNP5; SNP11; SNP19; SNP22; SNP24	selectedExposure	selectedOutcome	0.568208406288512	0.0135848805947786	0.116975653156365	1.01944115942066	0.275043876096902	8.60817651227957e-05	0.259568167358384	0.000205904614913145	NA	NA	200
SNP6	selectedExposure	selectedOutcome	0.150172412475137	0.74019084892499	-0.73743906746556	1.03778389241583	0.359775997511083	1.81162393396929e-10	0.385666591587093	4.4637442182813e-12	NA	NA	300
SNP6; SNP8; SNP15	selectedExposure	selectedOutcome	0.431715169893609	0.145215747675157	-0.149173805058605	1.01260414484582	0.587611044417767	1.0912743797862e-05	0.576442432964276	1.1815413380406e-05	NA	NA	50
SNP3; SNP7; SNP24; SNP27	selectedExposure	selectedOutcome	0.263564967493519	0.291857881768238	-0.226521412093853	0.753651347080892	0.307050705070507	0.00197109193536583	0.332262513286686	0.000731907593853668	NA	NA	100
SNP2; SNP10; SNP11	selectedExposure	selectedOutcome	0.178393854994661	0.406256197571881	-0.24261224723582	0.599399957225143	0.388154203855096	1.78619149824472e-08	0.418342882609823	7.0828446948724e-10	NA	NA	200
SNP5; SNP8; SNP14; SNP27; SNP29; SNP30	selectedExposure	selectedOutcome	0.0800603838016872	0.719485453700464	-0.356851694069706	0.516972461673081	0.298946877187524	1.50702180848576e-07	0.331240318302719	4.09952414960951e-09	NA	NA	300
SNP9; SNP20; SNP24	selectedExposure	selectedOutcome	0.367864729449566	0.0402589916437327	0.0163421046965391	0.719387354202592	0.376134453781513	0.00743258255066576	0.325763919506096	0.0209654713336124	NA	NA	50
SNP22	selectedExposure	selectedOutcome	-0.205973533591175	0.621837761705848	-1.02442827923747	0.612481212055121	0.443984398439844	4.71443582352576e-06	0.445879136333024	3.33464176470591e-06	NA	NA	100
SNP6	selectedExposure	selectedOutcome	0.0826405808666271	0.787474268223215	-0.518166008687536	0.683447170420791	0.245593639840996	0.000473254110420285	0.26265242386319	0.000171710163370536	NA	NA	200
SNP6; SNP16	selectedExposure	selectedOutcome	0.321395877053048	0.316592118425303	-0.307594065257883	0.950385819363979	0.0824240269336326	0.15434213070931	0.121958393901703	0.0347335892626975	NA	NA	300
SNP4; SNP12; SNP18; SNP21	selectedExposure	selectedOutcome	0.647346698716769	0.00170545675613513	0.242922533167101	1.05177086426644	0.509915966386555	0.000190478458235941	0.563060222801244	2.07468008124256e-05	NA	NA	50
SNP2; SNP10; SNP22	selectedExposure	selectedOutcome	-0.0640539052904578	0.757435522821387	-0.470540189039539	0.342432378458623	0.33024902490249	0.000841769526780235	0.394528018538573	4.87135245012204e-05	NA	NA	100
SNP20; SNP21	selectedExposure	selectedOutcome	0.370687416601169	0.165376989213448	-0.153049221141163	0.894424054343501	0.452372309307733	2.3068036360879e-11	0.465092113325596	3.964850279332e-12	NA	NA	200
