Exposure	Outcome	ivw_Estimate	ivw_Pvalue	ivw_CILower	Pearson_E	Pearson_P
MYLKpS343	IGKV1-17	-4.008851671	2.16E-05	-5.858746167	-0.518973322	0.039406605
MYLKpS343	SPP2	-4.053002005	5.07E-05	-6.013161481	-0.559371189	0.03015478
MYLKpS343	STK16	-5.091387338	1.21E-05	-7.371753512	-0.421548901	0.196593801
EML3pS883	CLPTM1	-0.433951565	3.31E-05	-0.638839233	-0.631606235	0.068066841
EML3pS883	S100B	-0.774222554	1.29E-05	-1.122094952	-0.449594534	0.26372019
EML3pS883	STX18	-0.329873645	2.22E-05	-0.482307695	-0.565652545	0.112419192
RGL3pS569	ABHD3	-1.93740482	2.36E-06	-2.741946328	-0.720486672	0.04378925
RGL3pS569	GPALPP1	-1.159528589	1.39E-05	-1.682536769	-0.888752561	0.003161199
RGL3pS569	LARP4	-1.526909171	2.95E-05	-2.243367272	-0.559009734	0.047027521
RGL3pS569	MAP2K6	-1.497424156	3.41E-05	-2.205672283	-0.796720753	0.017928511
RGL3pS569	MNAT1	-1.352126983	8.31E-06	-1.946704001	-0.655984483	0.010848871
RGL3pS569	TELO2	-1.721417752	7.87E-07	-2.40457968	-0.601836616	0.050111907
RGL3pS569	UBQLN2	-1.236045154	1.24E-06	-1.735716513	-0.640883837	0.00747028
SH3PXD2ApS420	PRR12	-1.574600711	4.38E-05	-2.329806204	-0.399398651	0.081052645
SH3PXD2ApS420	RBM23	-2.170875664	1.26E-07	-2.976071357	-0.609603142	0.046460729
TNS2pS845	HACL1	-0.466017241	1.56E-05	-0.677473589	-0.446385549	0.126253296
TNS2pS845	LIMCH1	0.431231269	3.00E-05	0.228725648	0.275428937	0.301841419
TNS2pS845	NPEPL1	0.328330097	2.88E-05	0.174470618	0.576642209	0.01937059
TNS2pS845	TTC7B	0.303408944	2.97E-05	0.16098804	0.492211693	0.062346147
IQSEC1pS925	CBLL1	0.461800836	7.54E-06	0.25966691	0.437572742	0.205987848
IQSEC1pS925	GPLD1	-0.763637405	2.94E-09	-1.015826318	-0.392299218	0.296343109
IQSEC1pS925	PPIP5K1	-0.33086022	3.05E-06	-0.46979644	-0.430679904	0.18605064
RALGAPA1pS1004	CKB	2.348441363	4.21E-06	1.347972911	0.589099889	0.010097344
RALGAPA1pS1004	GPALPP1	-1.95440353	6.61E-07	-2.724747485	-0.624071079	0.072452017
RALGAPA1pS1004	HLA-DRB5	3.685587244	8.44E-06	2.063672159	0.727924364	0.026189257
RALGAPA1pS1004	PET100	2.096110842	5.31E-05	1.079586341	0.712930543	0.047140217
RALGAPA1pS1004	RSBN1L	-2.243844	3.70E-05	-3.309894676	-0.548135403	0.159551471
RALGAPA1pS1004	SCN7A	3.575166656	1.72E-07	2.234722134	0.76586461	0.003682545
ABLIM2pS364	ADAP1	2.203054628	4.15E-05	1.149669079	0.415200687	0.232792861
ABLIM2pS364	CERCAM	2.759669625	5.47E-09	1.832248185	0.644959011	0.006983064
ABLIM2pS364	EIF4EBP1	3.160437748	2.55E-05	1.689211177	0.398568641	0.126231079
ABLIM2pS364	LIPH	-2.91767716	2.33E-07	-4.023653044	-0.691643861	0.004284895
ABLIM2pS364	RNF181	1.41282224	4.65E-05	0.732904193	0.620636469	0.00205636
NIPBLpS1096	TMX2	1.477313375	2.80E-05	0.786155834	0.430393693	0.287130703
KANK3pS293	EBAG9	0.473459055	8.66E-06	0.264837422	0.515609178	0.071310454
KANK3pS293	MEGF9	0.520281078	1.32E-05	0.28620839	0.410699753	0.312149264
KANK3pS293	RGS3	-0.625529562	9.57E-07	-0.875725252	-0.680266397	0.010505627
FAM83HpS516	NECTIN4	0.346084924	1.03E-05	0.192306676	0.432362542	0.284685193
FAM83HpS516	TRAPPC3	0.200026489	2.83E-05	0.106382659	0.183625759	0.636272966
RSRC2pS4	LSM5	0.240219417	3.09E-08	0.155172971	0.787154182	0.001405442
RSRC2pS4	RDX	-0.148347053	5.01E-05	-0.220046283	-0.263688182	0.384026443
RSRC2pS4	STMN2	-0.593281943	2.56E-09	-0.788456725	-0.67867061	0.064240312
RSRC2pS4	TSPAN13	-0.336868529	1.61E-05	-0.48993214	-0.346275887	0.270194494
BCL9LpS116	HAUS8	-2.778309174	3.06E-05	-4.084575316	-0.803789144	0.005078955
PHLDB1pS563	ANLN	-2.380814611	2.42E-06	-3.37047525	-0.57390959	0.020089418
PHLDB1pS563	CHST6	-4.486048373	8.28E-07	-6.270030643	-0.386687091	0.172001681
PHLDB1pS563	GRPEL2	-1.904535984	1.05E-05	-2.751587861	-0.405493114	0.245005906
PHLDB1pS563	KIFC1	-2.668675609	2.80E-05	-3.917284764	-0.268742152	0.280892651
PHLDB1pS563	ORAI1	1.777683115	2.06E-05	0.959561265	0.463046742	0.026075348
PHLDB1pS563	PKNOX1	-1.342549762	2.02E-09	-1.781398355	-0.682534563	0.003575583
PHLDB1pS563	SEMA3A	-3.10018555	2.09E-06	-4.380790896	-0.881025893	0.001699365
PHLDB1pS563	SLC35B3	-2.006032608	2.25E-05	-2.933570351	-0.493745502	0.213682724
PHLDB1pS563	SSH2	-1.837083231	1.61E-05	-2.671766311	-0.318457305	0.212849544
PHLDB1pS563	TRAF7	2.182528647	1.08E-05	1.210628871	0.454533726	0.160157584
ZC3H18pS842	KIFC1	-1.802462641	1.17E-05	-2.608451414	-0.735046784	0.037748937
IRF2BP1pS384	HOMER2	-5.790396335	3.91E-06	-8.248837049	-0.752548706	0.031197774
IRF2BP1pS384	PI16	-4.091372463	3.57E-05	-6.031233625	-0.758748299	0.006782214
IRF2BP1pS384	TMEM219	2.129434704	3.69E-07	1.308556877	0.634994693	0.026521722
IRF2BP1pS384	TMEM63C	-5.614910276	1.39E-08	-7.554247392	-0.652487028	0.079473854
IRF2BP1pS384	ZBTB40	-3.955670436	1.57E-05	-5.750941953	-0.478076704	0.024419738
HID1pS653	ACTBL2	1.544684911	1.69E-05	0.841083434	0.610271988	0.046155131
HID1pS653	ANXA5	-0.235993256	9.91E-06	-0.340660609	-0.19878874	0.557892203
HID1pS653	ARHGAP27	0.992237591	7.86E-06	0.557067851	-0.338820187	0.30807959
HID1pS653	ATP6V1D	0.455755207	1.71E-05	0.248019932	-0.212960914	0.554706784
HID1pS653	COX6A1	1.033652587	3.68E-05	0.542707261	0.052038933	0.879224471
HID1pS653	DEGS1	0.838719382	1.17E-05	0.463703566	-0.191797561	0.572097809
HID1pS653	FUT3	1.248753912	5.06E-05	0.644865771	0.162475742	0.676202305
HID1pS653	HFE	-0.893485953	1.53E-06	-1.257724786	-0.252000406	0.482442183
HID1pS653	HGS	-0.311334609	1.11E-05	-0.45017582	-0.304322556	0.362884808
HID1pS653	BORCS5	0.637689067	2.88E-06	0.370575572	0.539607447	0.133755602
HID1pS653	LYRM4	-0.750048771	2.51E-05	-1.098881178	-0.586321401	0.074836428
HID1pS653	MFAP1	0.668063384	2.07E-06	0.392171325	0.524419866	0.119671367
HID1pS653	MTRR	1.266298703	3.46E-05	0.666893243	0.121894375	0.754732976
HID1pS653	NDUFB10	0.466866036	2.62E-05	0.249228291	-0.045182499	0.895055837
HID1pS653	NGDN	0.86904927	8.63E-07	0.522883523	0.255451983	0.507072343
HID1pS653	NMRAL1	-1.181042815	2.45E-05	-1.729614544	-0.258682437	0.442447985
HID1pS653	PPIE	0.565189349	3.02E-05	0.299688686	0.108190656	0.751519259
HID1pS653	PRAF2	-0.559560947	9.42E-06	-0.807125217	-0.584155201	0.059148207
HID1pS653	RAB11FIP2	0.65893323	4.95E-05	0.340682325	0.443571558	0.23172159
HID1pS653	RPL7L1	0.713653996	2.73E-05	0.380209268	-0.077602973	0.831262118
